length scale factor
1.2465800E-01
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
2.5104325E+00 1.2453334E-01 8.4780420E+00 2.5104325E+00
total extinction, absorption, scattering efficiencies (unpolarized incidence)
2.8680000E+00 1.1300000E-01 2.7550000E+00
theta     11          12          22          33          34          44
0.000000 2.7145000E+00 -8.6536000E-08 9.9997000E-01 9.9997000E-01 1.9914000E-08 9.9994000E-01
0.500000 2.7126000E+00 -3.2951000E-05 9.9997000E-01 9.9997000E-01 7.5839000E-06 9.9994000E-01
1.000000 2.7071000E+00 -1.3180000E-04 9.9997000E-01 9.9997000E-01 3.0348000E-05 9.9994000E-01
1.500000 2.6980000E+00 -2.9656000E-04 9.9997000E-01 9.9997000E-01 6.8328000E-05 9.9994000E-01
2.000000 2.6852000E+00 -5.2724000E-04 9.9997000E-01 9.9997000E-01 1.2158000E-04 9.9994000E-01
2.500000 2.6688000E+00 -8.2384000E-04 9.9997000E-01 9.9997000E-01 1.9020000E-04 9.9994000E-01
3.000000 2.6490000E+00 -1.1864000E-03 9.9997000E-01 9.9997000E-01 2.7430000E-04 9.9994000E-01
3.500000 2.6257000E+00 -1.6149000E-03 9.9997000E-01 9.9997000E-01 3.7399000E-04 9.9994000E-01
4.000000 2.5991000E+00 -2.1094000E-03 9.9997000E-01 9.9997000E-01 4.8946000E-04 9.9994000E-01
4.500000 2.5692000E+00 -2.6698000E-03 9.9997000E-01 9.9997000E-01 6.2088000E-04 9.9994000E-01
5.000000 2.5362000E+00 -3.2963000E-03 9.9997000E-01 9.9996000E-01 7.6847000E-04 9.9993000E-01
5.500000 2.5002000E+00 -3.9889000E-03 9.9997000E-01 9.9996000E-01 9.3246000E-04 9.9993000E-01
6.000000 2.4614000E+00 -4.7475000E-03 9.9997000E-01 9.9996000E-01 1.1131000E-03 9.9993000E-01
6.500000 2.4197000E+00 -5.5722000E-03 9.9997000E-01 9.9995000E-01 1.3108000E-03 9.9992000E-01
7.000000 2.3755000E+00 -6.4631000E-03 9.9997000E-01 9.9994000E-01 1.5257000E-03 9.9991000E-01
7.500000 2.3289000E+00 -7.4201000E-03 9.9996000E-01 9.9994000E-01 1.7582000E-03 9.9990000E-01
8.000000 2.2800000E+00 -8.4433000E-03 9.9996000E-01 9.9993000E-01 2.0088000E-03 9.9989000E-01
8.500000 2.2290000E+00 -9.5328000E-03 9.9996000E-01 9.9991000E-01 2.2779000E-03 9.9988000E-01
9.000000 2.1761000E+00 -1.0688000E-02 9.9996000E-01 9.9990000E-01 2.5658000E-03 9.9987000E-01
9.500000 2.1215000E+00 -1.1910000E-02 9.9996000E-01 9.9988000E-01 2.8731000E-03 9.9985000E-01
10.000000 2.0653000E+00 -1.3199000E-02 9.9996000E-01 9.9987000E-01 3.2003000E-03 9.9983000E-01
10.500000 2.0077000E+00 -1.4553000E-02 9.9996000E-01 9.9984000E-01 3.5480000E-03 9.9981000E-01
11.000000 1.9490000E+00 -1.5974000E-02 9.9995000E-01 9.9982000E-01 3.9167000E-03 9.9978000E-01
11.500000 1.8892000E+00 -1.7462000E-02 9.9995000E-01 9.9979000E-01 4.3070000E-03 9.9975000E-01
12.000000 1.8287000E+00 -1.9015000E-02 9.9995000E-01 9.9976000E-01 4.7197000E-03 9.9972000E-01
12.500000 1.7675000E+00 -2.0635000E-02 9.9995000E-01 9.9972000E-01 5.1554000E-03 9.9968000E-01
13.000000 1.7058000E+00 -2.2322000E-02 9.9995000E-01 9.9968000E-01 5.6149000E-03 9.9963000E-01
13.500000 1.6440000E+00 -2.4074000E-02 9.9994000E-01 9.9963000E-01 6.0991000E-03 9.9959000E-01
14.000000 1.5820000E+00 -2.5893000E-02 9.9994000E-01 9.9958000E-01 6.6086000E-03 9.9953000E-01
14.500000 1.5201000E+00 -2.7779000E-02 9.9994000E-01 9.9952000E-01 7.1445000E-03 9.9947000E-01
15.000000 1.4584000E+00 -2.9730000E-02 9.9993000E-01 9.9946000E-01 7.7076000E-03 9.9941000E-01
15.500000 1.3971000E+00 -3.1748000E-02 9.9993000E-01 9.9939000E-01 8.2990000E-03 9.9933000E-01
16.000000 1.3364000E+00 -3.3831000E-02 9.9992000E-01 9.9931000E-01 8.9196000E-03 9.9925000E-01
16.500000 1.2764000E+00 -3.5981000E-02 9.9992000E-01 9.9923000E-01 9.5706000E-03 9.9916000E-01
17.000000 1.2172000E+00 -3.8196000E-02 9.9991000E-01 9.9913000E-01 1.0253000E-02 9.9907000E-01
17.500000 1.1590000E+00 -4.0477000E-02 9.9991000E-01 9.9903000E-01 1.0968000E-02 9.9896000E-01
18.000000 1.1019000E+00 -4.2824000E-02 9.9990000E-01 9.9891000E-01 1.1717000E-02 9.9884000E-01
18.500000 1.0459000E+00 -4.5235000E-02 9.9990000E-01 9.9879000E-01 1.2502000E-02 9.9872000E-01
