length scale factor
8.3110000E-05
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
1.6737284E-03 8.3026890E-05 9.8457837E-03 1.6737284E-03
total extinction, absorption, scattering efficiencies (unpolarized incidence)
1.5841000E-05 1.5839000E-05 2.1276000E-09
theta     11          12          22          33          34          44
 0.0000000E+00  1.3594000E-03  0.0000000E+00  9.9994000E-01  9.9994000E-01  0.0000000E+00  9.9988000E-01
 2.0000000E+01  1.2799000E-03 -6.2118000E-02  9.9994000E-01  9.9800000E-01  6.8308000E-12  9.9794000E-01
 2.0500000E+01  1.2760000E-03 -6.5324000E-02  9.9994000E-01  9.9780000E-01  7.1834000E-12  9.9774000E-01
 2.1000000E+01  1.2721000E-03 -6.8615000E-02  9.9993000E-01  9.9758000E-01  7.5453000E-12  9.9752000E-01
 2.1500000E+01  1.2681000E-03 -7.1992000E-02  9.9993000E-01  9.9734000E-01  7.9166000E-12  9.9728000E-01
 2.2000000E+01  1.2640000E-03 -7.5454000E-02  9.9993000E-01  9.9708000E-01  8.2973000E-12  9.9702000E-01
 2.2500000E+01  1.2598000E-03 -7.9003000E-02  9.9993000E-01  9.9681000E-01  8.6876000E-12  9.9675000E-01
 2.3000000E+01  1.2556000E-03 -8.2638000E-02  9.9993000E-01  9.9651000E-01  9.0873000E-12  9.9645000E-01
 2.3500000E+01  1.2513000E-03 -8.6360000E-02  9.9993000E-01  9.9620000E-01  9.4966000E-12  9.9614000E-01
 2.4000000E+01  1.2469000E-03 -9.0170000E-02  9.9993000E-01  9.9586000E-01  9.9155000E-12  9.9580000E-01
 2.4500000E+01  1.2425000E-03 -9.4067000E-02  9.9993000E-01  9.9550000E-01  1.0344000E-11  9.9544000E-01
 2.5000000E+01  1.2380000E-03 -9.8053000E-02  9.9993000E-01  9.9511000E-01  1.0782000E-11  9.9505000E-01
 2.5500000E+01  1.2334000E-03 -1.0213000E-01  9.9993000E-01  9.9470000E-01  1.1230000E-11  9.9464000E-01
 2.6000000E+01  1.2288000E-03 -1.0629000E-01  9.9993000E-01  9.9427000E-01  1.1688000E-11  9.9421000E-01
