length scale factor
1.0400000E-06
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
2.0944357E-05 1.0389600E-06 1.2320557E-04 2.0944357E-05
total extinction, absorption, scattering efficiencies (unpolarized incidence)
1.9823000E-07 1.9834000E-07 -1.1037000E-10
theta     11          12          22          33          34          44
 0.0000000E+00 -6.4252000E-10  0.0000000E+00  9.9994000E-01  9.9994000E-01  0.0000000E+00  9.9988000E-01
 5.0000000E-01 -6.4250000E-10 -3.8075000E-05  9.9994000E-01  9.9994000E-01  9.9042000E-19  9.9988000E-01
 1.0000000E+00 -6.4242000E-10 -1.5231000E-04  9.9994000E-01  9.9994000E-01  3.9618000E-18  9.9988000E-01
 1.5000000E+00 -6.4230000E-10 -3.4271000E-04  9.9994000E-01  9.9994000E-01  8.9147000E-18  9.9988000E-01
 2.0000000E+00 -6.4213000E-10 -6.0932000E-04  9.9994000E-01  9.9994000E-01  1.5850000E-17  9.9988000E-01
 2.5000000E+00 -6.4191000E-10 -9.5217000E-04  9.9994000E-01  9.9994000E-01  2.4768000E-17  9.9988000E-01
 3.0000000E+00 -6.4164000E-10 -1.3713000E-03  9.9994000E-01  9.9994000E-01  3.5671000E-17  9.9988000E-01
 3.5000000E+00 -6.4132000E-10 -1.8668000E-03  9.9994000E-01  9.9994000E-01  4.8560000E-17  9.9988000E-01
 4.0000000E+00 -6.4096000E-10 -2.4388000E-03  9.9994000E-01  9.9994000E-01  6.3438000E-17  9.9987000E-01
 4.5000000E+00 -6.4054000E-10 -3.0872000E-03  9.9994000E-01  9.9993000E-01  8.0306000E-17  9.9987000E-01
 5.0000000E+00 -6.4008000E-10 -3.8123000E-03  9.9994000E-01  9.9993000E-01  9.9166000E-17  9.9987000E-01
 5.5000000E+00 -6.3957000E-10 -4.6141000E-03  9.9994000E-01  9.9993000E-01  1.2002000E-16  9.9987000E-01
 6.0000000E+00 -6.3901000E-10 -5.4928000E-03  9.9994000E-01  9.9992000E-01  1.4288000E-16  9.9986000E-01
 6.5000000E+00 -6.3840000E-10 -6.4484000E-03  9.9994000E-01  9.9992000E-01  1.6774000E-16  9.9986000E-01
 7.0000000E+00 -6.3775000E-10 -7.4812000E-03  9.9994000E-01  9.9991000E-01  1.9460000E-16  9.9985000E-01
 7.5000000E+00 -6.3705000E-10 -8.5912000E-03  9.9994000E-01  9.9990000E-01  2.2348000E-16  9.9984000E-01
 8.0000000E+00 -6.3630000E-10 -9.7787000E-03  9.9994000E-01  9.9989000E-01  2.5436000E-16  9.9983000E-01
 8.5000000E+00 -6.3550000E-10 -1.1044000E-02  9.9994000E-01  9.9988000E-01  2.8727000E-16  9.9982000E-01
 9.0000000E+00 -6.3466000E-10 -1.2387000E-02  9.9994000E-01  9.9986000E-01  3.2220000E-16  9.9980000E-01
