length scale factor
3.1165000E-02
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
6.2761909E-01 3.1133835E-02 3.6920208E+00 6.2761909E-01
total extinction, absorption, scattering efficiencies (unpolarized incidence)
4.7164000E-02 6.5522000E-03 4.0612000E-02
theta     11          12          22          33          34          44
25.000000 1.0802000E+00 -9.7678000E-02 9.9989000E-01 9.9511000E-01 2.7970000E-04 9.9500000E-01
25.500000 1.0657000E+00 -1.0174000E-01 9.9989000E-01 9.9470000E-01 2.9228000E-04 9.9459000E-01
26.000000 1.0511000E+00 -1.0589000E-01 9.9989000E-01 9.9426000E-01 3.0521000E-04 9.9416000E-01
26.500000 1.0364000E+00 -1.1012000E-01 9.9989000E-01 9.9380000E-01 3.1850000E-04 9.9370000E-01
27.000000 1.0217000E+00 -1.1445000E-01 9.9988000E-01 9.9331000E-01 3.3216000E-04 9.9320000E-01
27.500000 1.0070000E+00 -1.1887000E-01 9.9988000E-01 9.9279000E-01 3.4618000E-04 9.9268000E-01
28.000000 9.9222000E-01 -1.2338000E-01 9.9988000E-01 9.9224000E-01 3.6058000E-04 9.9213000E-01
28.500000 9.7745000E-01 -1.2797000E-01 9.9988000E-01 9.9166000E-01 3.7537000E-04 9.9155000E-01
29.000000 9.6268000E-01 -1.3266000E-01 9.9988000E-01 9.9104000E-01 3.9055000E-04 9.9093000E-01
29.500000 9.4792000E-01 -1.3744000E-01 9.9988000E-01 9.9039000E-01 4.0612000E-04 9.9027000E-01
30.000000 9.3317000E-01 -1.4232000E-01 9.9988000E-01 9.8970000E-01 4.2210000E-04 9.8958000E-01
30.500000 9.1845000E-01 -1.4728000E-01 9.9987000E-01 9.8897000E-01 4.3849000E-04 9.8885000E-01
31.000000 9.0376000E-01 -1.5234000E-01 9.9987000E-01 9.8820000E-01 4.5530000E-04 9.8808000E-01
31.500000 8.8910000E-01 -1.5749000E-01 9.9987000E-01 9.8739000E-01 4.7254000E-04 9.8727000E-01
32.000000 8.7449000E-01 -1.6273000E-01 9.9987000E-01 9.8654000E-01 4.9021000E-04 9.8642000E-01
32.500000 8.5994000E-01 -1.6807000E-01 9.9987000E-01 9.8564000E-01 5.0832000E-04 9.8552000E-01
33.000000 8.4545000E-01 -1.7350000E-01 9.9987000E-01 9.8470000E-01 5.2687000E-04 9.8457000E-01
33.500000 8.3102000E-01 -1.7902000E-01 9.9986000E-01 9.8371000E-01 5.4588000E-04 9.8358000E-01
34.000000 8.1668000E-01 -1.8464000E-01 9.9986000E-01 9.8266000E-01 5.6535000E-04 9.8254000E-01
