 0.5513861E-02   single scattering albedo
 0.1186740E-02   scattering cross section
 0.2152285E+00   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.5603634889E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5603634889E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5603634889E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.5603634889E-08
   0.500     0.5603421727E-08    -0.2133848653E-12     0.0000000000E+00     0.0000000000E+00    -0.2133848653E-12     0.5603421727E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5603420838E-08     0.6938893904E-17     0.0000000000E+00     0.0000000000E+00    -0.6938893904E-17     0.5603420838E-08
   1.000     0.5602781350E-08    -0.8528733275E-12     0.0000000000E+00     0.0000000000E+00    -0.8528733275E-12     0.5602781350E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5602780462E-08     0.1387778781E-16     0.0000000000E+00     0.0000000000E+00    -0.1387778781E-16     0.5602780462E-08
   1.500     0.5601711983E-08    -0.1917355164E-11     0.0000000000E+00     0.0000000000E+00    -0.1917355164E-11     0.5601711983E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5601711539E-08     0.2081668171E-16     0.0000000000E+00     0.0000000000E+00    -0.2081668171E-16     0.5601711539E-08
   2.000     0.5600214958E-08    -0.3410161042E-11     0.0000000000E+00     0.0000000000E+00    -0.3410161042E-11     0.5600214958E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5600214070E-08     0.5898059818E-16     0.0000000000E+00     0.0000000000E+00    -0.5898059818E-16     0.5600214070E-08
   2.500     0.5598294273E-08    -0.5326405983E-11     0.0000000000E+00     0.0000000000E+00    -0.5326405983E-11     0.5598294273E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5598292052E-08     0.7979727989E-16     0.0000000000E+00     0.0000000000E+00    -0.7979727989E-16     0.5598292052E-08
   3.000     0.5595945485E-08    -0.7666756119E-11     0.0000000000E+00     0.0000000000E+00    -0.7666756119E-11     0.5595945485E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5595940156E-08     0.1075528555E-15     0.0000000000E+00     0.0000000000E+00    -0.1075528555E-15     0.5595940156E-08
   3.500     0.5593172148E-08    -0.1043254372E-10     0.0000000000E+00     0.0000000000E+00    -0.1043254372E-10     0.5593172148E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5593162378E-08     0.1526556659E-15     0.0000000000E+00     0.0000000000E+00    -0.1526556659E-15     0.5593162378E-08
   4.000     0.5589975149E-08    -0.1362066016E-10     0.0000000000E+00     0.0000000000E+00    -0.1362066016E-10     0.5589975149E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5589958274E-08     0.1977584763E-15     0.0000000000E+00     0.0000000000E+00    -0.1977584763E-15     0.5589958274E-08
   4.500     0.5586351826E-08    -0.1723088339E-10     0.0000000000E+00     0.0000000000E+00    -0.1723088339E-10     0.5586351826E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5586325180E-08     0.2428612866E-15     0.0000000000E+00     0.0000000000E+00    -0.2428612866E-15     0.5586325180E-08
