 0.7108730E-10   single scattering albedo
 0.2961237E-19   scattering cross section
 0.4165635E-09   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.6519258933E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6519258933E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6519258933E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.6519258933E-24
   0.500     0.6518502613E-24    -0.4461994495E-29     0.0000000000E+00     0.0000000000E+00    -0.4461994495E-29     0.6518502613E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6518502613E-24    -0.3302969855E-31     0.0000000000E+00     0.0000000000E+00     0.3302969855E-31     0.6518502613E-24
   1.000     0.6516233159E-24    -0.1804519321E-28     0.0000000000E+00     0.0000000000E+00    -0.1804519321E-28     0.6516233159E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6516233159E-24    -0.1316373117E-30     0.0000000000E+00     0.0000000000E+00     0.1316373117E-30     0.6516233159E-24
   1.500     0.6512452050E-24    -0.4033051378E-28     0.0000000000E+00     0.0000000000E+00    -0.4033051378E-28     0.6512452050E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6512451557E-24    -0.2964969149E-30     0.0000000000E+00     0.0000000000E+00     0.2964969149E-30     0.6512451557E-24
   2.000     0.6507162244E-24    -0.7173703857E-28     0.0000000000E+00     0.0000000000E+00    -0.7173703857E-28     0.6507162244E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6507161751E-24    -0.5267418398E-30     0.0000000000E+00     0.0000000000E+00     0.5267418398E-30     0.6507161751E-24
   2.500     0.6500365715E-24    -0.1119689447E-27     0.0000000000E+00     0.0000000000E+00    -0.1119689447E-27     0.6500365715E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6500365715E-24    -0.8225646792E-30     0.0000000000E+00     0.0000000000E+00     0.8225646792E-30     0.6500365715E-24
   3.000     0.6492065912E-24    -0.1611741437E-27     0.0000000000E+00     0.0000000000E+00    -0.1611741437E-27     0.6492065912E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6492065419E-24    -0.1183483951E-29     0.0000000000E+00     0.0000000000E+00     0.1183483951E-29     0.6492065419E-24
   3.500     0.6482270232E-24    -0.2191800721E-27     0.0000000000E+00     0.0000000000E+00    -0.2191800721E-27     0.6482270232E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6482269246E-24    -0.1609307062E-29     0.0000000000E+00     0.0000000000E+00     0.1609307062E-29     0.6482269246E-24
   4.000     0.6470983604E-24    -0.2860360339E-27     0.0000000000E+00     0.0000000000E+00    -0.2860360339E-27     0.6470983604E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6470982618E-24    -0.2099552529E-29     0.0000000000E+00     0.0000000000E+00     0.2099552529E-29     0.6470982618E-24
   4.500     0.6458209974E-24    -0.3615694655E-27     0.0000000000E+00     0.0000000000E+00    -0.3615694655E-27     0.6458209974E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6458208495E-24    -0.2654027760E-29     0.0000000000E+00     0.0000000000E+00     0.2654027760E-29     0.6458208495E-24
   5.000     0.6443960188E-24    -0.4457803672E-27     0.0000000000E+00     0.0000000000E+00    -0.4457803672E-27     0.6443960188E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6443958216E-24    -0.3272154976E-29     0.0000000000E+00     0.0000000000E+00     0.3272154976E-29     0.6443958216E-24
   5.500     0.6428238190E-24    -0.5387426945E-27     0.0000000000E+00     0.0000000000E+00    -0.5387426945E-27     0.6428238190E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6428235725E-24    -0.3953163804E-29     0.0000000000E+00     0.0000000000E+00     0.3953163804E-29     0.6428235725E-24
   6.000     0.6411056800E-24    -0.6401359727E-27     0.0000000000E+00     0.0000000000E+00    -0.6401359727E-27     0.6411056800E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6411053841E-24    -0.4696765355E-29     0.0000000000E+00     0.0000000000E+00     0.4696765355E-29     0.6411053841E-24
   6.500     0.6392424891E-24    -0.7500834613E-27     0.0000000000E+00     0.0000000000E+00    -0.7500834613E-27     0.6392424891E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6392420947E-24    -0.5502092962E-29     0.0000000000E+00     0.0000000000E+00     0.5502092962E-29     0.6392420947E-24
   7.000     0.6372352325E-24    -0.8684125971E-27     0.0000000000E+00     0.0000000000E+00    -0.8684125971E-27     0.6372352325E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6372345916E-24    -0.6368472547E-29     0.0000000000E+00     0.0000000000E+00     0.6368472547E-29     0.6372345916E-24
   7.500     0.6350852414E-24    -0.9950987281E-27     0.0000000000E+00     0.0000000000E+00    -0.9950987281E-27     0.6350852414E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6350844526E-24    -0.7295133740E-29     0.0000000000E+00     0.0000000000E+00     0.7295133740E-29     0.6350844526E-24
   8.000     0.6327934526E-24    -0.1129919987E-26     0.0000000000E+00     0.0000000000E+00    -0.1129919987E-26     0.6327934526E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6327924172E-24    -0.8281402464E-29     0.0000000000E+00     0.0000000000E+00     0.8281402464E-29     0.6327924172E-24
   8.500     0.6303615423E-24    -0.1272925678E-26     0.0000000000E+00     0.0000000000E+00    -0.1272925678E-26     0.6303615423E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6303602604E-24    -0.9326219459E-29     0.0000000000E+00     0.0000000000E+00     0.9326219459E-29     0.6303602604E-24
   9.000     0.6277906446E-24    -0.1423696719E-26     0.0000000000E+00     0.0000000000E+00    -0.1423696719E-26     0.6277906446E-24     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6277890669E-24    -0.1042900695E-28     0.0000000000E+00     0.0000000000E+00     0.1042900695E-28     0.6277890669E-24
