 0.5918463E+00   single scattering albedo
 0.3200788E+09   scattering cross section
 0.5408140E+09   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.2898222750E+07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2898222750E+07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2898222750E+07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.2898222750E+07
   0.500     0.2714814750E+07     0.3630000000E+03     0.0000000000E+00     0.0000000000E+00     0.3630000000E+03     0.2714814750E+07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2714809250E+07     0.5506171875E+04     0.0000000000E+00     0.0000000000E+00    -0.5506171875E+04     0.2714809250E+07
   1.000     0.2221285750E+07     0.1193500000E+04     0.0000000000E+00     0.0000000000E+00     0.1193500000E+04     0.2221285750E+07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2221207250E+07     0.1866093750E+05     0.0000000000E+00     0.0000000000E+00    -0.1866093750E+05     0.2221207250E+07
   1.500     0.1564062000E+07     0.1882937500E+04     0.0000000000E+00     0.0000000000E+00     0.1882937500E+04     0.1564062000E+07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1563743375E+07     0.3150794531E+05     0.0000000000E+00     0.0000000000E+00    -0.3150794531E+05     0.1563743375E+07
   2.000     0.9181615625E+06     0.1874187500E+04     0.0000000000E+00     0.0000000000E+00     0.1874187500E+04     0.9181615625E+06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9174343750E+06     0.3648646484E+05     0.0000000000E+00     0.0000000000E+00    -0.3648646484E+05     0.9174343750E+06
   2.500     0.4200816250E+06     0.1013625000E+04     0.0000000000E+00     0.0000000000E+00     0.1013625000E+04     0.4200816250E+06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4189392812E+06     0.3094226953E+05     0.0000000000E+00     0.0000000000E+00    -0.3094226953E+05     0.4189392812E+06
   3.000     0.1265234531E+06    -0.3544296875E+03     0.0000000000E+00     0.0000000000E+00    -0.3544296875E+03     0.1265234531E+06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1251989375E+06     0.1825608203E+05     0.0000000000E+00     0.0000000000E+00    -0.1825608203E+05     0.1251989375E+06
   3.500     0.1347517383E+05    -0.1615101074E+04     0.0000000000E+00     0.0000000000E+00    -0.1615101074E+04     0.1347517383E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1233574219E+05     0.5176990234E+04     0.0000000000E+00     0.0000000000E+00    -0.5176990234E+04     0.1233574219E+05
   4.000     0.9008614258E+04    -0.2260991943E+04     0.0000000000E+00     0.0000000000E+00    -0.2260991943E+04     0.9008614258E+04     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8326905273E+04    -0.2589535645E+04     0.0000000000E+00     0.0000000000E+00     0.2589535645E+04     0.8326905273E+04
   4.500     0.3768866406E+05    -0.2167388672E+04     0.0000000000E+00     0.0000000000E+00    -0.2167388672E+04     0.3768866406E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3746439844E+05    -0.3486661133E+04     0.0000000000E+00     0.0000000000E+00     0.3486661133E+04     0.3746439844E+05
   5.000     0.5251182422E+05    -0.1605625000E+04     0.0000000000E+00     0.0000000000E+00    -0.1605625000E+04     0.5251182422E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5248712500E+05    -0.1227832031E+03     0.0000000000E+00     0.0000000000E+00     0.1227832031E+03     0.5248712500E+05
   5.500     0.4277496484E+05    -0.1016652344E+04     0.0000000000E+00     0.0000000000E+00    -0.1016652344E+04     0.4277496484E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4263453906E+05     0.3310624512E+04     0.0000000000E+00     0.0000000000E+00    -0.3310624512E+04     0.4263453906E+05
