 0.6937714E-03   single scattering albedo
 0.1852534E-04   scattering cross section
 0.2670236E-01   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.8742828683E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8742828683E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8742827989E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.8742827989E-10
   0.500     0.8742494229E-10    -0.3327199627E-14     0.0000000000E+00     0.0000000000E+00    -0.3327199627E-14     0.8742494229E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8742494229E-10    -0.5421010862E-19     0.0000000000E+00     0.0000000000E+00     0.5421010862E-19     0.8742494229E-10
   1.000     0.8741490864E-10    -0.1329145127E-13     0.0000000000E+00     0.0000000000E+00    -0.1329145127E-13     0.8741490864E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8741490864E-10    -0.1626303259E-18     0.0000000000E+00     0.0000000000E+00     0.1626303259E-18     0.8741490864E-10
   1.500     0.8739821367E-10    -0.2992051051E-13     0.0000000000E+00     0.0000000000E+00    -0.2992051051E-13     0.8739821367E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8739820673E-10    -0.1084202172E-18     0.0000000000E+00     0.0000000000E+00     0.1084202172E-18     0.8739820673E-10
   2.000     0.8737484347E-10    -0.5320396901E-13     0.0000000000E+00     0.0000000000E+00    -0.5320396901E-13     0.8737484347E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8737482959E-10     0.5421010862E-19     0.0000000000E+00     0.0000000000E+00    -0.5421010862E-19     0.8737482959E-10
   2.500     0.8734479806E-10    -0.8311407118E-13     0.0000000000E+00     0.0000000000E+00    -0.8311407118E-13     0.8734479806E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8734476337E-10    -0.5421010862E-19     0.0000000000E+00     0.0000000000E+00     0.5421010862E-19     0.8734476337E-10
   3.000     0.8730809131E-10    -0.1196542865E-12     0.0000000000E+00     0.0000000000E+00    -0.1196542865E-12     0.8730809131E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8730800805E-10    -0.5421010862E-19     0.0000000000E+00     0.0000000000E+00     0.5421010862E-19     0.8730800805E-10
   3.500     0.8726476486E-10    -0.1627933899E-12     0.0000000000E+00     0.0000000000E+00    -0.1627933899E-12     0.8726476486E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8726460526E-10    -0.1626303259E-18     0.0000000000E+00     0.0000000000E+00     0.1626303259E-18     0.8726460526E-10
   4.000     0.8721479094E-10    -0.2125452592E-12     0.0000000000E+00     0.0000000000E+00    -0.2125452592E-12     0.8721479094E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8721452727E-10    -0.2168404345E-18     0.0000000000E+00     0.0000000000E+00     0.2168404345E-18     0.8721452727E-10
   4.500     0.8715816957E-10    -0.2688925471E-12     0.0000000000E+00     0.0000000000E+00    -0.2688925471E-12     0.8715816957E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8715776018E-10    -0.3252606517E-18     0.0000000000E+00     0.0000000000E+00     0.3252606517E-18     0.8715776018E-10
   5.000     0.8709497012E-10    -0.3318074981E-12     0.0000000000E+00     0.0000000000E+00    -0.3318074981E-12     0.8709497012E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8709433175E-10    -0.3252606517E-18     0.0000000000E+00     0.0000000000E+00     0.3252606517E-18     0.8709433175E-10
   5.500     0.8702519261E-10    -0.4012519483E-12     0.0000000000E+00     0.0000000000E+00    -0.4012519483E-12     0.8702519261E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8702426280E-10    -0.4336808690E-18     0.0000000000E+00     0.0000000000E+00     0.4336808690E-18     0.8702426280E-10
   6.000     0.8694886477E-10    -0.4772397755E-12     0.0000000000E+00     0.0000000000E+00    -0.4772397755E-12     0.8694886477E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8694755332E-10    -0.5963111949E-18     0.0000000000E+00     0.0000000000E+00     0.5963111949E-18     0.8694755332E-10
   6.500     0.8686598663E-10    -0.5597432240E-12     0.0000000000E+00     0.0000000000E+00    -0.5597432240E-12     0.8686598663E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8686418945E-10    -0.6505213035E-18     0.0000000000E+00     0.0000000000E+00     0.6505213035E-18     0.8686418945E-10
   7.000     0.8677659979E-10    -0.6487310689E-12     0.0000000000E+00     0.0000000000E+00    -0.6487310689E-12     0.8677659979E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8677417118E-10    -0.7589415207E-18     0.0000000000E+00     0.0000000000E+00     0.7589415207E-18     0.8677417118E-10
   7.500     0.8668072510E-10    -0.7441616767E-12     0.0000000000E+00     0.0000000000E+00    -0.7441616767E-12     0.8668072510E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8667752627E-10    -0.8673617380E-18     0.0000000000E+00     0.0000000000E+00     0.8673617380E-18     0.8667752627E-10
   8.000     0.8657841805E-10    -0.8460246392E-12     0.0000000000E+00     0.0000000000E+00    -0.8460246392E-12     0.8657841805E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.8657428247E-10    -0.9757819552E-18     0.0000000000E+00     0.0000000000E+00     0.9757819552E-18     0.8657428247E-10
