 0.9394193E+00   single scattering albedo
 0.7073291E+05   scattering cross section
 0.7529429E+05   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.5775021315E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5775021315E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5775021315E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.5775021315E+00
   0.500     0.5774750710E+00    -0.1394748688E-04     0.0000000000E+00     0.0000000000E+00    -0.1394748688E-04     0.5774750710E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5774750710E+00    -0.1072883606E-05     0.0000000000E+00     0.0000000000E+00     0.1072883606E-05     0.5774750710E+00
   1.000     0.5773935318E+00    -0.5611777306E-04     0.0000000000E+00     0.0000000000E+00    -0.5611777306E-04     0.5773935318E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5773934722E+00    -0.4261732101E-05     0.0000000000E+00     0.0000000000E+00     0.4261732101E-05     0.5773934722E+00
   1.500     0.5772576332E+00    -0.1262128353E-03     0.0000000000E+00     0.0000000000E+00    -0.1262128353E-03     0.5772576332E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5772575736E+00    -0.9581446648E-05     0.0000000000E+00     0.0000000000E+00     0.9581446648E-05     0.5772575736E+00
   2.000     0.5770675540E+00    -0.2243518829E-03     0.0000000000E+00     0.0000000000E+00    -0.2243518829E-03     0.5770675540E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5770674944E+00    -0.1707673073E-04     0.0000000000E+00     0.0000000000E+00     0.1707673073E-04     0.5770674944E+00
   2.500     0.5768231153E+00    -0.3502666950E-03     0.0000000000E+00     0.0000000000E+00    -0.3502666950E-03     0.5768231153E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5768230557E+00    -0.2667307854E-04     0.0000000000E+00     0.0000000000E+00     0.2667307854E-04     0.5768230557E+00
   3.000     0.5765246153E+00    -0.5042850971E-03     0.0000000000E+00     0.0000000000E+00    -0.5042850971E-03     0.5765246153E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5765244365E+00    -0.3838539124E-04     0.0000000000E+00     0.0000000000E+00     0.3838539124E-04     0.5765244365E+00
   3.500     0.5761720538E+00    -0.6859898567E-03     0.0000000000E+00     0.0000000000E+00    -0.6859898567E-03     0.5761720538E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5761716366E+00    -0.5225837231E-04     0.0000000000E+00     0.0000000000E+00     0.5225837231E-04     0.5761716366E+00
   4.000     0.5757656693E+00    -0.8954405785E-03     0.0000000000E+00     0.0000000000E+00    -0.8954405785E-03     0.5757656693E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5757648945E+00    -0.6824731827E-04     0.0000000000E+00     0.0000000000E+00     0.6824731827E-04     0.5757648945E+00
   4.500     0.5753052235E+00    -0.1132696867E-02     0.0000000000E+00     0.0000000000E+00    -0.1132696867E-02     0.5753052235E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5753040314E+00    -0.8630752563E-04     0.0000000000E+00     0.0000000000E+00     0.8630752563E-04     0.5753040314E+00
   5.000     0.5747911930E+00    -0.1397341490E-02     0.0000000000E+00     0.0000000000E+00    -0.1397341490E-02     0.5747911930E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5747895241E+00    -0.1065582037E-03     0.0000000000E+00     0.0000000000E+00     0.1065582037E-03     0.5747895241E+00
   5.500     0.5742235780E+00    -0.1689612865E-02     0.0000000000E+00     0.0000000000E+00    -0.1689612865E-02     0.5742235780E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5742210746E+00    -0.1288801432E-03     0.0000000000E+00     0.0000000000E+00     0.1288801432E-03     0.5742210746E+00
   6.000     0.5736026764E+00    -0.2009093761E-02     0.0000000000E+00     0.0000000000E+00    -0.2009093761E-02     0.5736026764E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5735991001E+00    -0.1532733440E-03     0.0000000000E+00     0.0000000000E+00     0.1532733440E-03     0.5735991001E+00
   6.500     0.5729285479E+00    -0.2355784178E-02     0.0000000000E+00     0.0000000000E+00    -0.2355784178E-02     0.5729285479E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5729237199E+00    -0.1797974110E-03     0.0000000000E+00     0.0000000000E+00     0.1797974110E-03     0.5729237199E+00
   7.000     0.5722014308E+00    -0.2729535103E-02     0.0000000000E+00     0.0000000000E+00    -0.2729535103E-02     0.5722014308E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5721948743E+00    -0.2083629370E-03     0.0000000000E+00     0.0000000000E+00     0.2083629370E-03     0.5721948743E+00
   7.500     0.5714215636E+00    -0.3130257130E-02     0.0000000000E+00     0.0000000000E+00    -0.3130257130E-02     0.5714215636E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5714129806E+00    -0.2389699221E-03     0.0000000000E+00     0.0000000000E+00     0.2389699221E-03     0.5714129806E+00
   8.000     0.5705893040E+00    -0.3557592630E-02     0.0000000000E+00     0.0000000000E+00    -0.3557592630E-02     0.5705893040E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5705781579E+00    -0.2716928720E-03     0.0000000000E+00     0.0000000000E+00     0.2716928720E-03     0.5705781579E+00
   8.500     0.5697046518E+00    -0.4011422396E-02     0.0000000000E+00     0.0000000000E+00    -0.4011422396E-02     0.5697046518E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5696904063E+00    -0.3064870834E-03     0.0000000000E+00     0.0000000000E+00     0.3064870834E-03     0.5696904063E+00
   9.000     0.5687679052E+00    -0.4491657019E-02     0.0000000000E+00     0.0000000000E+00    -0.4491657019E-02     0.5687679052E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5687501431E+00    -0.3433525562E-03     0.0000000000E+00     0.0000000000E+00     0.3433525562E-03     0.5687501431E+00
   9.500     0.5677796602E+00    -0.4997938871E-02     0.0000000000E+00     0.0000000000E+00    -0.4997938871E-02     0.5677796602E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.5677574873E+00    -0.3821700811E-03     0.0000000000E+00     0.0000000000E+00     0.3821700811E-03     0.5677574873E+00
