 0.8679521E-08   single scattering albedo
 0.1240141E-14   scattering cross section
 0.1428813E-06   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.2030744398E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2030744398E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2030744398E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.2030744398E-19
   0.500     0.2030406256E-19     0.2730342256E-24     0.0000000000E+00     0.0000000000E+00     0.2730342256E-24     0.2030406256E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2030406256E-19     0.3294283140E-26     0.0000000000E+00     0.0000000000E+00    -0.3294283140E-26     0.2030406256E-19
   1.000     0.2029391021E-19     0.1084866760E-23     0.0000000000E+00     0.0000000000E+00     0.1084866760E-23     0.2029391021E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2029391021E-19     0.1315188901E-25     0.0000000000E+00     0.0000000000E+00    -0.1315188901E-25     0.2029391021E-19
   1.500     0.2027699501E-19     0.2441959953E-23     0.0000000000E+00     0.0000000000E+00     0.2441959953E-23     0.2027699501E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2027699663E-19     0.2959806116E-25     0.0000000000E+00     0.0000000000E+00    -0.2959806116E-25     0.2027699663E-19
   2.000     0.2025333635E-19     0.4341082629E-23     0.0000000000E+00     0.0000000000E+00     0.4341082629E-23     0.2025333635E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2025333635E-19     0.5259493427E-25     0.0000000000E+00     0.0000000000E+00    -0.5259493427E-25     0.2025333635E-19
   2.500     0.2022294393E-19     0.6774964646E-23     0.0000000000E+00     0.0000000000E+00     0.6774964646E-23     0.2022294393E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2022294231E-19     0.8212988656E-25     0.0000000000E+00     0.0000000000E+00    -0.8212988656E-25     0.2022294231E-19
   3.000     0.2018584358E-19     0.9747644972E-23     0.0000000000E+00     0.0000000000E+00     0.9747644972E-23     0.2018584358E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2018584358E-19     0.1181776745E-24     0.0000000000E+00     0.0000000000E+00    -0.1181776745E-24     0.2018584358E-19
   3.500     0.2014206925E-19     0.1325104567E-22     0.0000000000E+00     0.0000000000E+00     0.1325104567E-22     0.2014206925E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2014206440E-19     0.1606941218E-24     0.0000000000E+00     0.0000000000E+00    -0.1606941218E-24     0.2014206440E-19
   4.000     0.2009165162E-19     0.1728516675E-22     0.0000000000E+00     0.0000000000E+00     0.1728516675E-22     0.2009165162E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2009164355E-19     0.2096476742E-24     0.0000000000E+00     0.0000000000E+00    -0.2096476742E-24     0.2009164355E-19
   4.500     0.2003461817E-19     0.2184354584E-22     0.0000000000E+00     0.0000000000E+00     0.2184354584E-22     0.2003461817E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2003460686E-19     0.2650257097E-24     0.0000000000E+00     0.0000000000E+00    -0.2650257097E-24     0.2003460686E-19
   5.000     0.1997102219E-19     0.2692133621E-22     0.0000000000E+00     0.0000000000E+00     0.2692133621E-22     0.1997102219E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1997100604E-19     0.3267335652E-24     0.0000000000E+00     0.0000000000E+00    -0.3267335652E-24     0.1997100604E-19
   5.500     0.1990091864E-19     0.3250965210E-22     0.0000000000E+00     0.0000000000E+00     0.3250965210E-22     0.1990091864E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1990089117E-19     0.3947459970E-24     0.0000000000E+00     0.0000000000E+00    -0.3947459970E-24     0.1990089117E-19
   6.000     0.1982434627E-19     0.3861010912E-22     0.0000000000E+00     0.0000000000E+00     0.3861010912E-22     0.1982434627E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1982430750E-19     0.4689809636E-24     0.0000000000E+00     0.0000000000E+00    -0.4689809636E-24     0.1982430750E-19
   6.500     0.1974136648E-19     0.4521220594E-22     0.0000000000E+00     0.0000000000E+00     0.4521220594E-22     0.1974136648E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1974131317E-19     0.5493879779E-24     0.0000000000E+00     0.0000000000E+00    -0.5493879779E-24     0.1974131317E-19
   7.000     0.1965204229E-19     0.5230786463E-22     0.0000000000E+00     0.0000000000E+00     0.5230786463E-22     0.1965204229E-19     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1965197282E-19     0.6359102420E-24     0.0000000000E+00     0.0000000000E+00    -0.6359102420E-24     0.1965197282E-19
