 0.9509193E-07   single scattering albedo
 0.4339958E-12   scattering cross section
 0.4563960E-05   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.3317729000E-17     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3317729000E-17     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3317729206E-17     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.3317729206E-17
   0.500     0.3317516828E-17    -0.9202384315E-22     0.0000000000E+00     0.0000000000E+00    -0.9202384315E-22     0.3317516828E-17     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3317517034E-17    -0.2714186385E-24     0.0000000000E+00     0.0000000000E+00     0.2714186385E-24     0.3317517034E-17
   1.000     0.3316878865E-17    -0.3671647944E-21     0.0000000000E+00     0.0000000000E+00    -0.3671647944E-21     0.3316878865E-17     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3316879071E-17    -0.1085674554E-23     0.0000000000E+00     0.0000000000E+00     0.1085674554E-23     0.3316879071E-17
   1.500     0.3315815938E-17    -0.8256296489E-21     0.0000000000E+00     0.0000000000E+00    -0.8256296489E-21     0.3315815938E-17     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3315815938E-17    -0.2445998921E-23     0.0000000000E+00     0.0000000000E+00     0.2445998921E-23     0.3315815938E-17
   2.000     0.3314328667E-17    -0.1467418407E-20     0.0000000000E+00     0.0000000000E+00    -0.1467418407E-20     0.3314328667E-17     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3314328460E-17    -0.4345929390E-23     0.0000000000E+00     0.0000000000E+00     0.4345929390E-23     0.3314328460E-17
   2.500     0.3312417052E-17    -0.2292634465E-20     0.0000000000E+00     0.0000000000E+00    -0.2292634465E-20     0.3312417052E-17     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3312416225E-17    -0.6783850375E-23     0.0000000000E+00     0.0000000000E+00     0.6783850375E-23     0.3312416225E-17
   3.000     0.3310082128E-17    -0.3299623463E-20     0.0000000000E+00     0.0000000000E+00    -0.3299623463E-20     0.3310082128E-17     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3310080474E-17    -0.9764608637E-23     0.0000000000E+00     0.0000000000E+00     0.9764608637E-23     0.3310080474E-17
   3.500     0.3307324929E-17    -0.4489419377E-20     0.0000000000E+00     0.0000000000E+00    -0.4489419377E-20     0.3307324929E-17     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3307321620E-17    -0.1327366389E-22     0.0000000000E+00     0.0000000000E+00     0.1327366389E-22     0.3307321620E-17
   4.000     0.3304146901E-17    -0.5860161050E-20     0.0000000000E+00     0.0000000000E+00    -0.5860161050E-20     0.3304146901E-17     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3304141731E-17    -0.1731909408E-22     0.0000000000E+00     0.0000000000E+00     0.1731909408E-22     0.3304141731E-17
   4.500     0.3300547838E-17    -0.7411641686E-20     0.0000000000E+00     0.0000000000E+00    -0.7411641686E-20     0.3300547838E-17     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3300539566E-17    -0.2189766801E-22     0.0000000000E+00     0.0000000000E+00     0.2189766801E-22     0.3300539566E-17
   5.000     0.3296531462E-17    -0.9143447696E-20     0.0000000000E+00     0.0000000000E+00    -0.9143447696E-20     0.3296531462E-17     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3296518641E-17    -0.2699322983E-22     0.0000000000E+00     0.0000000000E+00     0.2699322983E-22     0.3296518641E-17
   5.500     0.3292097361E-17    -0.1105485530E-19     0.0000000000E+00     0.0000000000E+00    -0.1105485530E-19     0.3292097361E-17     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3292079163E-17    -0.3261224188E-22     0.0000000000E+00     0.0000000000E+00     0.3261224188E-22     0.3292079163E-17
