 0.8851312E+00   single scattering albedo
 0.2069387E+06   scattering cross section
 0.2337944E+06   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   9.000     0.2071051121E+01    -0.5533576012E-02     0.0000000000E+00     0.0000000000E+00    -0.5533576012E-02     0.2071051121E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2071043730E+01     0.8884072304E-03     0.0000000000E+00     0.0000000000E+00    -0.8884072304E-03     0.2071043730E+01
   9.500     0.2067570210E+01    -0.6155371666E-02     0.0000000000E+00     0.0000000000E+00    -0.6155371666E-02     0.2067570210E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2067560911E+01     0.9874105453E-03     0.0000000000E+00     0.0000000000E+00    -0.9874105453E-03     0.2067560911E+01
  10.000     0.2063906670E+01    -0.6809234619E-02     0.0000000000E+00     0.0000000000E+00    -0.6809234619E-02     0.2063906670E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2063894987E+01     0.1091480255E-02     0.0000000000E+00     0.0000000000E+00    -0.1091480255E-02     0.2063894987E+01
  10.500     0.2060061932E+01    -0.7494807243E-02     0.0000000000E+00     0.0000000000E+00    -0.7494807243E-02     0.2060061932E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2060048103E+01     0.1200795174E-02     0.0000000000E+00     0.0000000000E+00    -0.1200795174E-02     0.2060048103E+01
  11.000     0.2056036949E+01    -0.8211016655E-02     0.0000000000E+00     0.0000000000E+00    -0.8211016655E-02     0.2056036949E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2056020260E+01     0.1314222813E-02     0.0000000000E+00     0.0000000000E+00    -0.1314222813E-02     0.2056020260E+01
  11.500     0.2051833153E+01    -0.8957266808E-02     0.0000000000E+00     0.0000000000E+00    -0.8957266808E-02     0.2051833153E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2051813126E+01     0.1432597637E-02     0.0000000000E+00     0.0000000000E+00    -0.1432597637E-02     0.2051813126E+01
  12.000     0.2047451019E+01    -0.9733915329E-02     0.0000000000E+00     0.0000000000E+00    -0.9733915329E-02     0.2047451019E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2047427177E+01     0.1555263996E-02     0.0000000000E+00     0.0000000000E+00    -0.1555263996E-02     0.2047427177E+01
  12.500     0.2042891741E+01    -0.1054048538E-01     0.0000000000E+00     0.0000000000E+00    -0.1054048538E-01     0.2042891741E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2042863846E+01     0.1683056355E-02     0.0000000000E+00     0.0000000000E+00    -0.1683056355E-02     0.2042863846E+01
  13.000     0.2038156748E+01    -0.1137638092E-01     0.0000000000E+00     0.0000000000E+00    -0.1137638092E-01     0.2038156748E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2038124084E+01     0.1814782619E-02     0.0000000000E+00     0.0000000000E+00    -0.1814782619E-02     0.2038124084E+01
  13.500     0.2033246994E+01    -0.1224160194E-01     0.0000000000E+00     0.0000000000E+00    -0.1224160194E-01     0.2033246994E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2033209324E+01     0.1951098442E-02     0.0000000000E+00     0.0000000000E+00    -0.1951098442E-02     0.2033209324E+01
  14.000     0.2028163910E+01    -0.1313471794E-01     0.0000000000E+00     0.0000000000E+00    -0.1313471794E-01     0.2028163910E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2028120518E+01     0.2091228962E-02     0.0000000000E+00     0.0000000000E+00    -0.2091228962E-02     0.2028120518E+01
  14.500     0.2022908688E+01    -0.1405596733E-01     0.0000000000E+00     0.0000000000E+00    -0.1405596733E-01     0.2022908688E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2022858620E+01     0.2235531807E-02     0.0000000000E+00     0.0000000000E+00    -0.2235531807E-02     0.2022858620E+01
  15.000     0.2017482758E+01    -0.1500523090E-01     0.0000000000E+00     0.0000000000E+00    -0.1500523090E-01     0.2017482758E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2017425537E+01     0.2384185791E-02     0.0000000000E+00     0.0000000000E+00    -0.2384185791E-02     0.2017425537E+01
  15.500     0.2011887550E+01    -0.1598131657E-01     0.0000000000E+00     0.0000000000E+00    -0.1598131657E-01     0.2011887550E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2011822462E+01     0.2536416054E-02     0.0000000000E+00     0.0000000000E+00    -0.2536416054E-02     0.2011822462E+01
  16.000     0.2006124496E+01    -0.1698499918E-01     0.0000000000E+00     0.0000000000E+00    -0.1698499918E-01     0.2006124496E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2006050587E+01     0.2692937851E-02     0.0000000000E+00     0.0000000000E+00    -0.2692937851E-02     0.2006050587E+01
  16.500     0.2000194311E+01    -0.1801437140E-01     0.0000000000E+00     0.0000000000E+00    -0.1801437140E-01     0.2000194311E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2000111341E+01     0.2852797508E-02     0.0000000000E+00     0.0000000000E+00    -0.2852797508E-02     0.2000111341E+01
  17.000     0.1994099855E+01    -0.1906919479E-01     0.0000000000E+00     0.0000000000E+00    -0.1906919479E-01     0.1994099855E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1994006395E+01     0.3016173840E-02     0.0000000000E+00     0.0000000000E+00    -0.3016173840E-02     0.1994006395E+01
  17.500     0.1987841606E+01    -0.2014929056E-01     0.0000000000E+00     0.0000000000E+00    -0.2014929056E-01     0.1987841606E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1987736821E+01     0.3183066845E-02     0.0000000000E+00     0.0000000000E+00    -0.3183066845E-02     0.1987736821E+01
  18.000     0.1981421590E+01    -0.2125442028E-01     0.0000000000E+00     0.0000000000E+00    -0.2125442028E-01     0.1981421590E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1981304646E+01     0.3353416920E-02     0.0000000000E+00     0.0000000000E+00    -0.3353416920E-02     0.1981304646E+01
  18.500     0.1974840641E+01    -0.2238333225E-01     0.0000000000E+00     0.0000000000E+00    -0.2238333225E-01     0.1974840641E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1974710584E+01     0.3526866436E-02     0.0000000000E+00     0.0000000000E+00    -0.3526866436E-02     0.1974710584E+01
  19.000     0.1968101382E+01    -0.2353596687E-01     0.0000000000E+00     0.0000000000E+00    -0.2353596687E-01     0.1968101382E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1967957139E+01     0.3703653812E-02     0.0000000000E+00     0.0000000000E+00    -0.3703653812E-02     0.1967957139E+01
  19.500     0.1961204767E+01    -0.2471160889E-01     0.0000000000E+00     0.0000000000E+00    -0.2471160889E-01     0.1961204767E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1961045384E+01     0.3883123398E-02     0.0000000000E+00     0.0000000000E+00    -0.3883123398E-02     0.1961045384E+01
  20.000     0.1954153538E+01    -0.2590972185E-01     0.0000000000E+00     0.0000000000E+00    -0.2590972185E-01     0.1954153538E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1953977466E+01     0.4065632820E-02     0.0000000000E+00     0.0000000000E+00    -0.4065632820E-02     0.1953977466E+01
  20.500     0.1946948767E+01    -0.2712982893E-01     0.0000000000E+00     0.0000000000E+00    -0.2712982893E-01     0.1946948767E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1946754932E+01     0.4250943661E-02     0.0000000000E+00     0.0000000000E+00    -0.4250943661E-02     0.1946754932E+01
