 0.7850782E-04   single scattering albedo
 0.4958050E-06   scattering cross section
 0.6315358E-02   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.4812602004E-13     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4812602004E-13     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4812602004E-13     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.4812602004E-13
   0.500     0.4812416673E-13    -0.1819426771E-17     0.0000000000E+00     0.0000000000E+00    -0.1819426771E-17     0.4812416673E-13     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4812416673E-13    -0.1985233470E-22     0.0000000000E+00     0.0000000000E+00     0.1985233470E-22     0.4812416673E-13
   1.000     0.4811859326E-13    -0.7287871478E-17     0.0000000000E+00     0.0000000000E+00    -0.7287871478E-17     0.4811859326E-13     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4811859326E-13    -0.7279189390E-22     0.0000000000E+00     0.0000000000E+00     0.7279189390E-22     0.4811859326E-13
   1.500     0.4810930300E-13    -0.1639178160E-16     0.0000000000E+00     0.0000000000E+00    -0.1639178160E-16     0.4810930300E-13     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4810929961E-13    -0.1720535674E-21     0.0000000000E+00     0.0000000000E+00     0.1720535674E-21     0.4810929961E-13
   2.000     0.4809629935E-13    -0.2913962745E-16     0.0000000000E+00     0.0000000000E+00    -0.2913962745E-16     0.4809629935E-13     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4809628919E-13    -0.3110199103E-21     0.0000000000E+00     0.0000000000E+00     0.3110199103E-21     0.4809628919E-13
   2.500     0.4807959586E-13    -0.4552632685E-16     0.0000000000E+00     0.0000000000E+00    -0.4552632685E-16     0.4807959586E-13     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4807957553E-13    -0.4764560328E-21     0.0000000000E+00     0.0000000000E+00     0.4764560328E-21     0.4807957553E-13
   3.000     0.4805917898E-13    -0.6553493913E-16     0.0000000000E+00     0.0000000000E+00    -0.6553493913E-16     0.4805917898E-13     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4805913832E-13    -0.6882142696E-21     0.0000000000E+00     0.0000000000E+00     0.6882142696E-21     0.4805913832E-13
   3.500     0.4803506903E-13    -0.8917054649E-16     0.0000000000E+00     0.0000000000E+00    -0.8917054649E-16     0.4803506903E-13     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4803498772E-13    -0.9198248412E-21     0.0000000000E+00     0.0000000000E+00     0.9198248412E-21     0.4803498772E-13
   4.000     0.4800727619E-13    -0.1164162083E-15     0.0000000000E+00     0.0000000000E+00    -0.1164162083E-15     0.4800727619E-13     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4800713389E-13    -0.1224227307E-20     0.0000000000E+00     0.0000000000E+00     0.1224227307E-20     0.4800713389E-13
   4.500     0.4797579705E-13    -0.1472871711E-15     0.0000000000E+00     0.0000000000E+00    -0.1472871711E-15     0.4797579705E-13     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4797557005E-13    -0.1528629772E-20     0.0000000000E+00     0.0000000000E+00     0.1528629772E-20     0.4797557005E-13
