 0.8005704E-08   single scattering albedo
 0.7898630E-15   scattering cross section
 0.9866254E-07   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   9.000     0.3416623476E-21    -0.7756080420E-24     0.0000000000E+00     0.0000000000E+00    -0.7756080420E-24     0.3416623476E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3416614641E-21    -0.1175723224E-26     0.0000000000E+00     0.0000000000E+00     0.1175723224E-26     0.3416614641E-21
   9.500     0.3401886544E-21    -0.8620924408E-24     0.0000000000E+00     0.0000000000E+00    -0.8620924408E-24     0.3401886544E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3401875437E-21    -0.1306439941E-26     0.0000000000E+00     0.0000000000E+00     0.1306439941E-26     0.3401875437E-21
  10.000     0.3386408967E-21    -0.9528682429E-24     0.0000000000E+00     0.0000000000E+00    -0.9528682429E-24     0.3386408967E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3386395336E-21    -0.1443418241E-26     0.0000000000E+00     0.0000000000E+00     0.1443418241E-26     0.3386395336E-21
  10.500     0.3370202104E-21    -0.1047746122E-23     0.0000000000E+00     0.0000000000E+00    -0.1047746122E-23     0.3370202104E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3370185443E-21    -0.1586559518E-26     0.0000000000E+00     0.0000000000E+00     0.1586559518E-26     0.3370185443E-21
  11.000     0.3353273528E-21    -0.1146662968E-23     0.0000000000E+00     0.0000000000E+00    -0.1146662968E-23     0.3353273528E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3353253838E-21    -0.1735740511E-26     0.0000000000E+00     0.0000000000E+00     0.1735740511E-26     0.3353253838E-21
  11.500     0.3335633083E-21    -0.1249618783E-23     0.0000000000E+00     0.0000000000E+00    -0.1249618783E-23     0.3335633083E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3335609607E-21    -0.1890825634E-26     0.0000000000E+00     0.0000000000E+00     0.1890825634E-26     0.3335609607E-21
  12.000     0.3317292130E-21    -0.1356487347E-23     0.0000000000E+00     0.0000000000E+00    -0.1356487347E-23     0.3317292130E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3317264362E-21    -0.2051679303E-26     0.0000000000E+00     0.0000000000E+00     0.2051679303E-26     0.3317264362E-21
  12.500     0.3298258494E-21    -0.1467167688E-23     0.0000000000E+00     0.0000000000E+00    -0.1467167688E-23     0.3298258494E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3298225678E-21    -0.2218153606E-26     0.0000000000E+00     0.0000000000E+00     0.2218153606E-26     0.3298225678E-21
  13.000     0.3278544797E-21    -0.1581647182E-23     0.0000000000E+00     0.0000000000E+00    -0.1581647182E-23     0.3278544797E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3278506427E-21    -0.2390100631E-26     0.0000000000E+00     0.0000000000E+00     0.2390100631E-26     0.3278506427E-21
  13.500     0.3258161136E-21    -0.1699786991E-23     0.0000000000E+00     0.0000000000E+00    -0.1699786991E-23     0.3258161136E-21     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3258116708E-21    -0.2567360142E-26     0.0000000000E+00     0.0000000000E+00     0.2567360142E-26     0.3258116708E-21
