 0.9985024E-01   single scattering albedo
 0.1006531E+01   scattering cross section
 0.1008041E+02   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.9723462568E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9723462568E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9723462568E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.9723462568E-07
   0.500     0.9723090955E-07    -0.3694822226E-11     0.0000000000E+00     0.0000000000E+00    -0.3694822226E-11     0.9723090955E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9723091665E-07     0.4163336342E-16     0.0000000000E+00     0.0000000000E+00    -0.4163336342E-16     0.9723091665E-07
   1.000     0.9721976824E-07    -0.1477928890E-10     0.0000000000E+00     0.0000000000E+00    -0.1477928890E-10     0.9721976824E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9721976824E-07     0.1387778781E-15     0.0000000000E+00     0.0000000000E+00    -0.1387778781E-15     0.9721976824E-07
   1.500     0.9720122307E-07    -0.3323918918E-10     0.0000000000E+00     0.0000000000E+00    -0.3323918918E-10     0.9720122307E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9720121597E-07     0.2914335440E-15     0.0000000000E+00     0.0000000000E+00    -0.2914335440E-15     0.9720121597E-07
   2.000     0.9717523142E-07    -0.5909939205E-10     0.0000000000E+00     0.0000000000E+00    -0.5909939205E-10     0.9717523142E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9717521721E-07     0.4996003611E-15     0.0000000000E+00     0.0000000000E+00    -0.4996003611E-15     0.9717521721E-07
   2.500     0.9714184301E-07    -0.9230660680E-10     0.0000000000E+00     0.0000000000E+00    -0.9230660680E-10     0.9714184301E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9714180038E-07     0.7632783294E-15     0.0000000000E+00     0.0000000000E+00    -0.7632783294E-15     0.9714180038E-07
   3.000     0.9710107918E-07    -0.1328892552E-09     0.0000000000E+00     0.0000000000E+00    -0.1328892552E-09     0.9710107918E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9710099391E-07     0.1068589661E-14     0.0000000000E+00     0.0000000000E+00    -0.1068589661E-14     0.9710099391E-07
   3.500     0.9705290438E-07    -0.1808118100E-09     0.0000000000E+00     0.0000000000E+00    -0.1808118100E-09     0.9705290438E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9705274095E-07     0.1471045508E-14     0.0000000000E+00     0.0000000000E+00    -0.1471045508E-14     0.9705274095E-07
   4.000     0.9699738257E-07    -0.2360778240E-09     0.0000000000E+00     0.0000000000E+00    -0.2360778240E-09     0.9699738257E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9699709835E-07     0.1929012505E-14     0.0000000000E+00     0.0000000000E+00    -0.1929012505E-14     0.9699709835E-07
   4.500     0.9693448533E-07    -0.2986482173E-09     0.0000000000E+00     0.0000000000E+00    -0.2986482173E-09     0.9693448533E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9693403058E-07     0.2414735079E-14     0.0000000000E+00     0.0000000000E+00    -0.2414735079E-14     0.9693403058E-07
   5.000     0.9686428371E-07    -0.3685229899E-09     0.0000000000E+00     0.0000000000E+00    -0.3685229899E-09     0.9686428371E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9686358737E-07     0.2983724379E-14     0.0000000000E+00     0.0000000000E+00    -0.2983724379E-14     0.9686358737E-07
   5.500     0.9678674928E-07    -0.4456843783E-09     0.0000000000E+00     0.0000000000E+00    -0.4456843783E-09     0.9678674928E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9678571899E-07     0.3663735981E-14     0.0000000000E+00     0.0000000000E+00    -0.3663735981E-14     0.9678571899E-07
   6.000     0.9670192469E-07    -0.5300684336E-09     0.0000000000E+00     0.0000000000E+00    -0.5300684336E-09     0.9670192469E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9670046097E-07     0.4274358645E-14     0.0000000000E+00     0.0000000000E+00    -0.4274358645E-14     0.9670046097E-07
   6.500     0.9660983125E-07    -0.6217248938E-09     0.0000000000E+00     0.0000000000E+00    -0.6217248938E-09     0.9660983125E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9660782752E-07     0.5079270338E-14     0.0000000000E+00     0.0000000000E+00    -0.5079270338E-14     0.9660782752E-07
   7.000     0.9651050448E-07    -0.7205400721E-09     0.0000000000E+00     0.0000000000E+00    -0.7205400721E-09     0.9651050448E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9650781152E-07     0.5856426455E-14     0.0000000000E+00     0.0000000000E+00    -0.5856426455E-14     0.9650781152E-07
   7.500     0.9640397991E-07    -0.8265352847E-09     0.0000000000E+00     0.0000000000E+00    -0.8265352847E-09     0.9640397991E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9640043430E-07     0.6730727087E-14     0.0000000000E+00     0.0000000000E+00    -0.6730727087E-14     0.9640043430E-07
   8.000     0.9629027176E-07    -0.9396856626E-09     0.0000000000E+00     0.0000000000E+00    -0.9396856626E-09     0.9629027176E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9628568165E-07     0.7632783294E-14     0.0000000000E+00     0.0000000000E+00    -0.7632783294E-14     0.9628568165E-07
   8.500     0.9616943686E-07    -0.1059923704E-08     0.0000000000E+00     0.0000000000E+00    -0.1059923704E-08     0.9616943686E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9616358909E-07     0.8631984016E-14     0.0000000000E+00     0.0000000000E+00    -0.8631984016E-14     0.9616358909E-07
   9.000     0.9604151785E-07    -0.1187224541E-08     0.0000000000E+00     0.0000000000E+00    -0.1187224541E-08     0.9604151785E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9603417794E-07     0.9672818102E-14     0.0000000000E+00     0.0000000000E+00    -0.9672818102E-14     0.9603417794E-07
   9.500     0.9590652184E-07    -0.1321552645E-08     0.0000000000E+00     0.0000000000E+00    -0.1321552645E-08     0.9590652184E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9589741268E-07     0.1071365219E-13     0.0000000000E+00     0.0000000000E+00    -0.1071365219E-13     0.9589741268E-07
  10.000     0.9576450566E-07    -0.1462861832E-08     0.0000000000E+00     0.0000000000E+00    -0.1462861832E-08     0.9576450566E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9575332882E-07     0.1185163079E-13     0.0000000000E+00     0.0000000000E+00    -0.1185163079E-13     0.9575332882E-07
  10.500     0.9561550485E-07    -0.1611116573E-08     0.0000000000E+00     0.0000000000E+00    -0.1611116573E-08     0.9561550485E-07     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.9560192638E-07     0.1308675390E-13     0.0000000000E+00     0.0000000000E+00    -0.1308675390E-13     0.9560192638E-07
