 0.9798696E+00   single scattering albedo
 0.6864276E+07   scattering cross section
 0.7005296E+07   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.6596212864E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6596212864E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6596212864E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.6596212864E+01
   0.500     0.6595904350E+01    -0.1454353333E-04     0.0000000000E+00     0.0000000000E+00    -0.1454353333E-04     0.6595904350E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6595903873E+01     0.1531839371E-03     0.0000000000E+00     0.0000000000E+00    -0.1531839371E-03     0.6595903873E+01
   1.000     0.6594975471E+01    -0.5793571472E-04     0.0000000000E+00     0.0000000000E+00    -0.5793571472E-04     0.6594975471E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6594974995E+01     0.6117820740E-03     0.0000000000E+00     0.0000000000E+00    -0.6117820740E-03     0.6594974995E+01
   1.500     0.6593431473E+01    -0.1304149628E-03     0.0000000000E+00     0.0000000000E+00    -0.1304149628E-03     0.6593431473E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6593430996E+01     0.1376152039E-02     0.0000000000E+00     0.0000000000E+00    -0.1376152039E-02     0.6593430996E+01
   2.000     0.6591269493E+01    -0.2319812775E-03     0.0000000000E+00     0.0000000000E+00    -0.2319812775E-03     0.6591269493E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6591269016E+01     0.2446055412E-02     0.0000000000E+00     0.0000000000E+00    -0.2446055412E-02     0.6591269016E+01
   2.500     0.6588490486E+01    -0.3628730774E-03     0.0000000000E+00     0.0000000000E+00    -0.3628730774E-03     0.6588490486E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6588489532E+01     0.3820180893E-02     0.0000000000E+00     0.0000000000E+00    -0.3820180893E-02     0.6588489532E+01
   3.000     0.6585096836E+01    -0.5192756653E-03     0.0000000000E+00     0.0000000000E+00    -0.5192756653E-03     0.6585096836E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6585094929E+01     0.5499720573E-02     0.0000000000E+00     0.0000000000E+00    -0.5499720573E-02     0.6585094929E+01
   3.500     0.6581088066E+01    -0.7069110870E-03     0.0000000000E+00     0.0000000000E+00    -0.7069110870E-03     0.6581088066E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6581084251E+01     0.7480859756E-02     0.0000000000E+00     0.0000000000E+00    -0.7480859756E-02     0.6581084251E+01
   4.000     0.6576466560E+01    -0.9214878082E-03     0.0000000000E+00     0.0000000000E+00    -0.9214878082E-03     0.6576466560E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6576459885E+01     0.9765744209E-02     0.0000000000E+00     0.0000000000E+00    -0.9765744209E-02     0.6576459885E+01
   4.500     0.6571232796E+01    -0.1161813736E-02     0.0000000000E+00     0.0000000000E+00    -0.1161813736E-02     0.6571232796E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6571221828E+01     0.1235163212E-01     0.0000000000E+00     0.0000000000E+00    -0.1235163212E-01     0.6571221828E+01
   5.000     0.6565390587E+01    -0.1430273056E-02     0.0000000000E+00     0.0000000000E+00    -0.1430273056E-02     0.6565390587E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6565371990E+01     0.1523661613E-01     0.0000000000E+00     0.0000000000E+00    -0.1523661613E-01     0.6565371990E+01
   5.500     0.6558938026E+01    -0.1723051071E-02     0.0000000000E+00     0.0000000000E+00    -0.1723051071E-02     0.6558938026E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6558911800E+01     0.1842153072E-01     0.0000000000E+00     0.0000000000E+00    -0.1842153072E-01     0.6558911800E+01
   6.000     0.6551880836E+01    -0.2041339874E-02     0.0000000000E+00     0.0000000000E+00    -0.2041339874E-02     0.6551880836E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6551844120E+01     0.2190327644E-01     0.0000000000E+00     0.0000000000E+00    -0.2190327644E-01     0.6551844120E+01
   6.500     0.6544218540E+01    -0.2384662628E-02     0.0000000000E+00     0.0000000000E+00    -0.2384662628E-02     0.6544218540E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6544167995E+01     0.2568054199E-01     0.0000000000E+00     0.0000000000E+00    -0.2568054199E-01     0.6544167995E+01
   7.000     0.6535958290E+01    -0.2752542496E-02     0.0000000000E+00     0.0000000000E+00    -0.2752542496E-02     0.6535958290E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6535889626E+01     0.2975201607E-01     0.0000000000E+00     0.0000000000E+00    -0.2975201607E-01     0.6535889626E+01
   7.500     0.6527096748E+01    -0.3141403198E-02     0.0000000000E+00     0.0000000000E+00    -0.3141403198E-02     0.6527096748E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6527007580E+01     0.3411483765E-01     0.0000000000E+00     0.0000000000E+00    -0.3411483765E-01     0.6527007580E+01
   8.000     0.6517641068E+01    -0.3551721573E-02     0.0000000000E+00     0.0000000000E+00    -0.3551721573E-02     0.6517641068E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6517524242E+01     0.3876876831E-01     0.0000000000E+00     0.0000000000E+00    -0.3876876831E-01     0.6517524242E+01
   8.500     0.6507592678E+01    -0.3984928131E-02     0.0000000000E+00     0.0000000000E+00    -0.3984928131E-02     0.6507592678E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6507444382E+01     0.4370892048E-01     0.0000000000E+00     0.0000000000E+00    -0.4370892048E-01     0.6507444382E+01
   9.000     0.6496956348E+01    -0.4435539246E-02     0.0000000000E+00     0.0000000000E+00    -0.4435539246E-02     0.6496956348E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6496770382E+01     0.4893600941E-01     0.0000000000E+00     0.0000000000E+00    -0.4893600941E-01     0.6496770382E+01
   9.500     0.6485733032E+01    -0.4907846451E-02     0.0000000000E+00     0.0000000000E+00    -0.4907846451E-02     0.6485733032E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6485502720E+01     0.5444443226E-01     0.0000000000E+00     0.0000000000E+00    -0.5444443226E-01     0.6485502720E+01
  10.000     0.6473927975E+01    -0.5395889282E-02     0.0000000000E+00     0.0000000000E+00    -0.5395889282E-02     0.6473927975E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6473645687E+01     0.6023490429E-01     0.0000000000E+00     0.0000000000E+00    -0.6023490429E-01     0.6473645687E+01
  10.500     0.6461544991E+01    -0.5900382996E-02     0.0000000000E+00     0.0000000000E+00    -0.5900382996E-02     0.6461544991E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6461201668E+01     0.6630206108E-01     0.0000000000E+00     0.0000000000E+00    -0.6630206108E-01     0.6461201668E+01
  11.000     0.6448587418E+01    -0.6421327591E-02     0.0000000000E+00     0.0000000000E+00    -0.6421327591E-02     0.6448587418E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6448174953E+01     0.7264435291E-01     0.0000000000E+00     0.0000000000E+00    -0.7264435291E-01     0.6448174953E+01
  11.500     0.6435060501E+01    -0.6956577301E-02     0.0000000000E+00     0.0000000000E+00    -0.6956577301E-02     0.6435060501E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6434568882E+01     0.7925784588E-01     0.0000000000E+00     0.0000000000E+00    -0.7925784588E-01     0.6434568882E+01
  12.000     0.6420969009E+01    -0.7502794266E-02     0.0000000000E+00     0.0000000000E+00    -0.7502794266E-02     0.6420969009E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6420386314E+01     0.8614063263E-01     0.0000000000E+00     0.0000000000E+00    -0.8614063263E-01     0.6420386314E+01
  12.500     0.6406312943E+01    -0.8060932159E-02     0.0000000000E+00     0.0000000000E+00    -0.8060932159E-02     0.6406312943E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6405628204E+01     0.9328866005E-01     0.0000000000E+00     0.0000000000E+00    -0.9328866005E-01     0.6405628204E+01
  13.000     0.6391101837E+01    -0.8627653122E-02     0.0000000000E+00     0.0000000000E+00    -0.8627653122E-02     0.6391101837E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6390302658E+01     0.1006996632E+00     0.0000000000E+00     0.0000000000E+00    -0.1006996632E+00     0.6390302658E+01
  13.500     0.6375339985E+01    -0.9204387665E-02     0.0000000000E+00     0.0000000000E+00    -0.9204387665E-02     0.6375339985E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6374412537E+01     0.1083689928E+00     0.0000000000E+00     0.0000000000E+00    -0.1083689928E+00     0.6374412537E+01
  14.000     0.6359031677E+01    -0.9787321091E-02     0.0000000000E+00     0.0000000000E+00    -0.9787321091E-02     0.6359031677E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6357960701E+01     0.1162935495E+00     0.0000000000E+00     0.0000000000E+00    -0.1162935495E+00     0.6357960701E+01
  14.500     0.6342181206E+01    -0.1037478447E-01     0.0000000000E+00     0.0000000000E+00    -0.1037478447E-01     0.6342181206E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6340951443E+01     0.1244699955E+00     0.0000000000E+00     0.0000000000E+00    -0.1244699955E+00     0.6340951443E+01
  15.000     0.6324795723E+01    -0.1096725464E-01     0.0000000000E+00     0.0000000000E+00    -0.1096725464E-01     0.6324795723E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6323389530E+01     0.1328938007E+00     0.0000000000E+00     0.0000000000E+00    -0.1328938007E+00     0.6323389530E+01
  15.500     0.6306879044E+01    -0.1156067848E-01     0.0000000000E+00     0.0000000000E+00    -0.1156067848E-01     0.6306879044E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6305279255E+01     0.1415621042E+00     0.0000000000E+00     0.0000000000E+00    -0.1415621042E+00     0.6305279255E+01
  16.000     0.6288437843E+01    -0.1215481758E-01     0.0000000000E+00     0.0000000000E+00    -0.1215481758E-01     0.6288437843E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6286625862E+01     0.1504700184E+00     0.0000000000E+00     0.0000000000E+00    -0.1504700184E+00     0.6286625862E+01
  16.500     0.6269478321E+01    -0.1274728775E-01     0.0000000000E+00     0.0000000000E+00    -0.1274728775E-01     0.6269478321E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6267433167E+01     0.1596133709E+00     0.0000000000E+00     0.0000000000E+00    -0.1596133709E+00     0.6267433167E+01
  17.000     0.6250003815E+01    -0.1333785057E-01     0.0000000000E+00     0.0000000000E+00    -0.1333785057E-01     0.6250003815E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6247704983E+01     0.1689879894E+00     0.0000000000E+00     0.0000000000E+00    -0.1689879894E+00     0.6247704983E+01
  17.500     0.6230023384E+01    -0.1392221451E-01     0.0000000000E+00     0.0000000000E+00    -0.1392221451E-01     0.6230023384E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6227447987E+01     0.1785905361E+00     0.0000000000E+00     0.0000000000E+00    -0.1785905361E+00     0.6227447987E+01
  18.000     0.6209543705E+01    -0.1450061798E-01     0.0000000000E+00     0.0000000000E+00    -0.1450061798E-01     0.6209543705E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6206667423E+01     0.1884156466E+00     0.0000000000E+00     0.0000000000E+00    -0.1884156466E+00     0.6206667423E+01
  18.500     0.6188567638E+01    -0.1507091522E-01     0.0000000000E+00     0.0000000000E+00    -0.1507091522E-01     0.6188567638E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6185366154E+01     0.1984585524E+00     0.0000000000E+00     0.0000000000E+00    -0.1984585524E+00     0.6185366154E+01
  19.000     0.6167102814E+01    -0.1563096046E-01     0.0000000000E+00     0.0000000000E+00    -0.1563096046E-01     0.6167102814E+01     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.6163550377E+01     0.2087152004E+00     0.0000000000E+00     0.0000000000E+00    -0.2087152004E+00     0.6163550377E+01
