 0.7886218E+00   single scattering albedo
 0.4661901E+09   scattering cross section
 0.5911453E+09   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.4339383594E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4339383594E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4339383984E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.4339383984E+05
   0.500     0.4308263281E+05    -0.4580078125E+01     0.0000000000E+00     0.0000000000E+00    -0.4580078125E+01     0.4308263281E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4308262500E+05     0.2951708984E+02     0.0000000000E+00     0.0000000000E+00    -0.2951708984E+02     0.4308262500E+05
   1.000     0.4216023438E+05    -0.1804492188E+02     0.0000000000E+00     0.0000000000E+00    -0.1804492188E+02     0.4216023438E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4216007422E+05     0.1159340820E+03     0.0000000000E+00     0.0000000000E+00    -0.1159340820E+03     0.4216007422E+05
   1.500     0.4066019531E+05    -0.3951953125E+02     0.0000000000E+00     0.0000000000E+00    -0.3951953125E+02     0.4066019531E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4065938672E+05     0.2528979492E+03     0.0000000000E+00     0.0000000000E+00    -0.2528979492E+03     0.4065938672E+05
   2.000     0.3863723828E+05    -0.6758984375E+02     0.0000000000E+00     0.0000000000E+00    -0.6758984375E+02     0.3863723828E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3863478516E+05     0.4303247070E+03     0.0000000000E+00     0.0000000000E+00    -0.4303247070E+03     0.3863478516E+05
   2.500     0.3616372656E+05    -0.1004824219E+03     0.0000000000E+00     0.0000000000E+00    -0.1004824219E+03     0.3616372656E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3615801172E+05     0.6352216797E+03     0.0000000000E+00     0.0000000000E+00    -0.6352216797E+03     0.3615801172E+05
   3.000     0.3332529688E+05    -0.1360566406E+03     0.0000000000E+00     0.0000000000E+00    -0.1360566406E+03     0.3332529688E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3331410156E+05     0.8528208008E+03     0.0000000000E+00     0.0000000000E+00    -0.8528208008E+03     0.3331410156E+05
   3.500     0.3021836914E+05    -0.1720800781E+03     0.0000000000E+00     0.0000000000E+00    -0.1720800781E+03     0.3021836914E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3019901953E+05     0.1067500000E+04     0.0000000000E+00     0.0000000000E+00    -0.1067500000E+04     0.3019901953E+05
   4.000     0.2694294922E+05    -0.2062451172E+03     0.0000000000E+00     0.0000000000E+00    -0.2062451172E+03     0.2694294922E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2691248633E+05     0.1264191406E+04     0.0000000000E+00     0.0000000000E+00    -0.1264191406E+04     0.2691248633E+05
   4.500     0.2359948633E+05    -0.2364375000E+03     0.0000000000E+00     0.0000000000E+00    -0.2364375000E+03     0.2359948633E+05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2355497266E+05     0.1429347412E+04     0.0000000000E+00     0.0000000000E+00    -0.1429347412E+04     0.2355497266E+05
