 0.3210354E-02   single scattering albedo
 0.3686078E-03   scattering cross section
 0.1148184E+00   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.2297205981E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2297205981E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2297206203E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.2297206203E-08
   0.500     0.2297118717E-08    -0.8726352974E-13     0.0000000000E+00     0.0000000000E+00    -0.8726352974E-13     0.2297118717E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2297118940E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.2297118940E-08
   1.000     0.2296856705E-08    -0.3497202528E-12     0.0000000000E+00     0.0000000000E+00    -0.3497202528E-12     0.2296856705E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2296856705E-08     0.5204170428E-17     0.0000000000E+00     0.0000000000E+00    -0.5204170428E-17     0.2296856705E-08
   1.500     0.2296419499E-08    -0.7868150576E-12     0.0000000000E+00     0.0000000000E+00    -0.7868150576E-12     0.2296419499E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2296419499E-08     0.1214306433E-16     0.0000000000E+00     0.0000000000E+00    -0.1214306433E-16     0.2296419499E-08
   2.000     0.2295807544E-08    -0.1398325900E-11     0.0000000000E+00     0.0000000000E+00    -0.1398325900E-11     0.2295807544E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2295807322E-08     0.2081668171E-16     0.0000000000E+00     0.0000000000E+00    -0.2081668171E-16     0.2295807322E-08
   2.500     0.2295020840E-08    -0.2184474823E-11     0.0000000000E+00     0.0000000000E+00    -0.2184474823E-11     0.2295020840E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2295019952E-08     0.3295974604E-16     0.0000000000E+00     0.0000000000E+00    -0.3295974604E-16     0.2295019952E-08
   3.000     0.2294060053E-08    -0.3145150806E-11     0.0000000000E+00     0.0000000000E+00    -0.3145150806E-11     0.2294060053E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2294058055E-08     0.4857225733E-16     0.0000000000E+00     0.0000000000E+00    -0.4857225733E-16     0.2294058055E-08
   3.500     0.2292926293E-08    -0.4278799537E-11     0.0000000000E+00     0.0000000000E+00    -0.4278799537E-11     0.2292926293E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2292922296E-08     0.6071532166E-16     0.0000000000E+00     0.0000000000E+00    -0.6071532166E-16     0.2292922296E-08
   4.000     0.2291618006E-08    -0.5586642260E-11     0.0000000000E+00     0.0000000000E+00    -0.5586642260E-11     0.2291618006E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2291611123E-08     0.8326672685E-16     0.0000000000E+00     0.0000000000E+00    -0.8326672685E-16     0.2291611123E-08
   4.500     0.2290136525E-08    -0.7067568752E-11     0.0000000000E+00     0.0000000000E+00    -0.7067568752E-11     0.2290136525E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2290125867E-08     0.1023486851E-15     0.0000000000E+00     0.0000000000E+00    -0.1023486851E-15     0.2290125867E-08
   5.000     0.2288482737E-08    -0.8721134925E-11     0.0000000000E+00     0.0000000000E+00    -0.8721134925E-11     0.2288482737E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2288466305E-08     0.1283695372E-15     0.0000000000E+00     0.0000000000E+00    -0.1283695372E-15     0.2288466305E-08
   5.500     0.2286656642E-08    -0.1054745180E-10     0.0000000000E+00     0.0000000000E+00    -0.1054745180E-10     0.2286656642E-08     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2286632217E-08     0.1561251128E-15     0.0000000000E+00     0.0000000000E+00    -0.1561251128E-15     0.2286632217E-08
