 0.2179345E-07   single scattering albedo
 0.9246604E-14   scattering cross section
 0.4242837E-06   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.4004005317E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4004005317E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4004005317E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.4004005317E-20
   0.500     0.4003393414E-20     0.3130200072E-25     0.0000000000E+00     0.0000000000E+00     0.3130200072E-25     0.4003393414E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4003393414E-20     0.7908330575E-28     0.0000000000E+00     0.0000000000E+00    -0.7908330575E-28     0.4003393414E-20
   1.000     0.4001556895E-20     0.1260157964E-24     0.0000000000E+00     0.0000000000E+00     0.1260157964E-24     0.4001556895E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.4001556895E-20     0.3161360078E-27     0.0000000000E+00     0.0000000000E+00    -0.3161360078E-27     0.4001556895E-20
   1.500     0.3998498185E-20     0.2831316452E-24     0.0000000000E+00     0.0000000000E+00     0.2831316452E-24     0.3998498185E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3998498185E-20     0.7111581061E-27     0.0000000000E+00     0.0000000000E+00    -0.7111581061E-27     0.3998498185E-20
   2.000     0.3994219302E-20     0.5026495470E-24     0.0000000000E+00     0.0000000000E+00     0.5026495470E-24     0.3994219302E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3994218898E-20     0.1263360740E-26     0.0000000000E+00     0.0000000000E+00    -0.1263360740E-26     0.3994218898E-20
   2.500     0.3988721459E-20     0.7845695019E-24     0.0000000000E+00     0.0000000000E+00     0.7845695019E-24     0.3988721459E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3988721459E-20     0.1972941124E-26     0.0000000000E+00     0.0000000000E+00    -0.1972941124E-26     0.3988721459E-20
   3.000     0.3982010310E-20     0.1129295407E-23     0.0000000000E+00     0.0000000000E+00     0.1129295407E-23     0.3982010310E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3982010310E-20     0.2838913183E-26     0.0000000000E+00     0.0000000000E+00    -0.2838913183E-26     0.3982010310E-20
   3.500     0.3974091510E-20     0.1535413622E-23     0.0000000000E+00     0.0000000000E+00     0.1535413622E-23     0.3974091510E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3974090702E-20     0.3860488055E-26     0.0000000000E+00     0.0000000000E+00    -0.3860488055E-26     0.3974090702E-20
   4.000     0.3964969097E-20     0.2002924149E-23     0.0000000000E+00     0.0000000000E+00     0.2002924149E-23     0.3964969097E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3964968693E-20     0.5036679665E-26     0.0000000000E+00     0.0000000000E+00    -0.5036679665E-26     0.3964968693E-20
   4.500     0.3954648323E-20     0.2531221142E-23     0.0000000000E+00     0.0000000000E+00     0.2531221142E-23     0.3954648323E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3954647515E-20     0.6366699151E-26     0.0000000000E+00     0.0000000000E+00    -0.6366699151E-26     0.3954647515E-20
   5.000     0.3943139688E-20     0.3119294859E-23     0.0000000000E+00     0.0000000000E+00     0.3119294859E-23     0.3943139688E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3943138476E-20     0.7848968792E-26     0.0000000000E+00     0.0000000000E+00    -0.7848968792E-26     0.3943138476E-20
   5.500     0.3930448039E-20     0.3768155041E-23     0.0000000000E+00     0.0000000000E+00     0.3768155041E-23     0.3930448039E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3930446424E-20     0.9482699726E-26     0.0000000000E+00     0.0000000000E+00    -0.9482699726E-26     0.3930446424E-20
   6.000     0.3916586302E-20     0.4475782206E-23     0.0000000000E+00     0.0000000000E+00     0.4475782206E-23     0.3916586302E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3916583474E-20     0.1126611702E-25     0.0000000000E+00     0.0000000000E+00    -0.1126611702E-25     0.3916583474E-20
   6.500     0.3901560130E-20     0.5242176353E-23     0.0000000000E+00     0.0000000000E+00     0.5242176353E-23     0.3901560130E-20     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.3901556494E-20     0.1319784016E-25     0.0000000000E+00     0.0000000000E+00    -0.1319784016E-25     0.3901556494E-20
