 0.1006640E+00   single scattering albedo
 0.1297874E+01   scattering cross section
 0.1289314E+02   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.1254707200E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1254707200E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1254707342E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.1254707342E-06
   0.500     0.1254659168E-06    -0.4760636330E-11     0.0000000000E+00     0.0000000000E+00    -0.4760636330E-11     0.1254659168E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1254659168E-06     0.5551115123E-16     0.0000000000E+00     0.0000000000E+00    -0.5551115123E-16     0.1254659168E-06
   1.000     0.1254515496E-06    -0.1904965075E-10     0.0000000000E+00     0.0000000000E+00    -0.1904965075E-10     0.1254515496E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1254515496E-06     0.3053113318E-15     0.0000000000E+00     0.0000000000E+00    -0.3053113318E-15     0.1254515496E-06
   1.500     0.1254276185E-06    -0.4286704325E-10     0.0000000000E+00     0.0000000000E+00    -0.4286704325E-10     0.1254276185E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1254276185E-06     0.7216449660E-15     0.0000000000E+00     0.0000000000E+00    -0.7216449660E-15     0.1254276185E-06
   2.000     0.1253941093E-06    -0.7619860298E-10     0.0000000000E+00     0.0000000000E+00    -0.7619860298E-10     0.1253941093E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1253940951E-06     0.1221245327E-14     0.0000000000E+00     0.0000000000E+00    -0.1221245327E-14     0.1253940951E-06
   2.500     0.1253510220E-06    -0.1190301191E-09     0.0000000000E+00     0.0000000000E+00    -0.1190301191E-09     0.1253510220E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1253509652E-06     0.1915134717E-14     0.0000000000E+00     0.0000000000E+00    -0.1915134717E-14     0.1253509652E-06
   3.000     0.1252983992E-06    -0.1713544862E-09     0.0000000000E+00     0.0000000000E+00    -0.1713544862E-09     0.1252983992E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1252982855E-06     0.2775557562E-14     0.0000000000E+00     0.0000000000E+00    -0.2775557562E-14     0.1252982855E-06
   3.500     0.1252362836E-06    -0.2331503879E-09     0.0000000000E+00     0.0000000000E+00    -0.2331503879E-09     0.1252362836E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1252360562E-06     0.3747002708E-14     0.0000000000E+00     0.0000000000E+00    -0.3747002708E-14     0.1252360562E-06
   4.000     0.1251646324E-06    -0.3043894026E-09     0.0000000000E+00     0.0000000000E+00    -0.3043894026E-09     0.1251646324E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1251642630E-06     0.4884981308E-14     0.0000000000E+00     0.0000000000E+00    -0.4884981308E-14     0.1251642630E-06
   4.500     0.1250834600E-06    -0.3850999519E-09     0.0000000000E+00     0.0000000000E+00    -0.3850999519E-09     0.1250834600E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1250828774E-06     0.6217248938E-14     0.0000000000E+00     0.0000000000E+00    -0.6217248938E-14     0.1250828774E-06
   5.000     0.1249928800E-06    -0.4751683491E-09     0.0000000000E+00     0.0000000000E+00    -0.4751683491E-09     0.1249928800E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1249919848E-06     0.7632783294E-14     0.0000000000E+00     0.0000000000E+00    -0.7632783294E-14     0.1249919848E-06
   5.500     0.1248928498E-06    -0.5746585430E-09     0.0000000000E+00     0.0000000000E+00    -0.5746585430E-09     0.1248928498E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1248915282E-06     0.9270362256E-14     0.0000000000E+00     0.0000000000E+00    -0.9270362256E-14     0.1248915282E-06
   6.000     0.1247833836E-06    -0.6834781630E-09     0.0000000000E+00     0.0000000000E+00    -0.6834781630E-09     0.1247833836E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1247815220E-06     0.1096345237E-13     0.0000000000E+00     0.0000000000E+00    -0.1096345237E-13     0.1247815220E-06
   6.500     0.1246645809E-06    -0.8016343145E-09     0.0000000000E+00     0.0000000000E+00    -0.8016343145E-09     0.1246645809E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1246620087E-06     0.1287858709E-13     0.0000000000E+00     0.0000000000E+00    -0.1287858709E-13     0.1246620087E-06
   7.000     0.1245364274E-06    -0.9290701541E-09     0.0000000000E+00     0.0000000000E+00    -0.9290701541E-09     0.1245364274E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1245329599E-06     0.1498801083E-13     0.0000000000E+00     0.0000000000E+00    -0.1498801083E-13     0.1245329599E-06
   7.500     0.1243989658E-06    -0.1065743049E-08     0.0000000000E+00     0.0000000000E+00    -0.1065743049E-08     0.1243989658E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1243944041E-06     0.1718070131E-13     0.0000000000E+00     0.0000000000E+00    -0.1718070131E-13     0.1243944041E-06
   8.000     0.1242522671E-06    -0.1211617473E-08     0.0000000000E+00     0.0000000000E+00    -0.1211617473E-08     0.1242522671E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1242463554E-06     0.1951216966E-13     0.0000000000E+00     0.0000000000E+00    -0.1951216966E-13     0.1242463554E-06
   8.500     0.1240963456E-06    -0.1366643687E-08     0.0000000000E+00     0.0000000000E+00    -0.1366643687E-08     0.1240963456E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1240888281E-06     0.2198241589E-13     0.0000000000E+00     0.0000000000E+00    -0.2198241589E-13     0.1240888281E-06
   9.000     0.1239312724E-06    -0.1530800375E-08     0.0000000000E+00     0.0000000000E+00    -0.1530800375E-08     0.1239312724E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1239218079E-06     0.2464695115E-13     0.0000000000E+00     0.0000000000E+00    -0.2464695115E-13     0.1239218079E-06
   9.500     0.1237570757E-06    -0.1703995167E-08     0.0000000000E+00     0.0000000000E+00    -0.1703995167E-08     0.1237570757E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1237453375E-06     0.2742250871E-13     0.0000000000E+00     0.0000000000E+00    -0.2742250871E-13     0.1237453375E-06
  10.000     0.1235738409E-06    -0.1886213852E-08     0.0000000000E+00     0.0000000000E+00    -0.1886213852E-08     0.1235738409E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1235594453E-06     0.3036459972E-13     0.0000000000E+00     0.0000000000E+00    -0.3036459972E-13     0.1235594453E-06
  10.500     0.1233815965E-06    -0.2077364059E-08     0.0000000000E+00     0.0000000000E+00    -0.2077364059E-08     0.1233815965E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1233641029E-06     0.3344546862E-13     0.0000000000E+00     0.0000000000E+00    -0.3344546862E-13     0.1233641029E-06
  11.000     0.1231804134E-06    -0.2277431577E-08     0.0000000000E+00     0.0000000000E+00    -0.2277431577E-08     0.1231804134E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1231593529E-06     0.3666511539E-13     0.0000000000E+00     0.0000000000E+00    -0.3666511539E-13     0.1231593529E-06
  11.500     0.1229703059E-06    -0.2486324036E-08     0.0000000000E+00     0.0000000000E+00    -0.2486324036E-08     0.1229703059E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1229451811E-06     0.4005129561E-13     0.0000000000E+00     0.0000000000E+00    -0.4005129561E-13     0.1229451811E-06
  12.000     0.1227514304E-06    -0.2703970381E-08     0.0000000000E+00     0.0000000000E+00    -0.2703970381E-08     0.1227514304E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1227216586E-06     0.4352074257E-13     0.0000000000E+00     0.0000000000E+00    -0.4352074257E-13     0.1227216586E-06
  12.500     0.1225237725E-06    -0.2930313769E-08     0.0000000000E+00     0.0000000000E+00    -0.2930313769E-08     0.1225237725E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1224887427E-06     0.4712896740E-13     0.0000000000E+00     0.0000000000E+00    -0.4712896740E-13     0.1224887427E-06
  13.000     0.1222874602E-06    -0.3165315121E-08     0.0000000000E+00     0.0000000000E+00    -0.3165315121E-08     0.1222874602E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1222464903E-06     0.5098699241E-13     0.0000000000E+00     0.0000000000E+00    -0.5098699241E-13     0.1222464903E-06
  13.500     0.1220424934E-06    -0.3408857197E-08     0.0000000000E+00     0.0000000000E+00    -0.3408857197E-08     0.1220424934E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1219948871E-06     0.5490052857E-13     0.0000000000E+00     0.0000000000E+00    -0.5490052857E-13     0.1219948871E-06
  14.000     0.1217890144E-06    -0.3660879599E-08     0.0000000000E+00     0.0000000000E+00    -0.3660879599E-08     0.1217890144E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1217339758E-06     0.5895284261E-13     0.0000000000E+00     0.0000000000E+00    -0.5895284261E-13     0.1217339758E-06
  14.500     0.1215270800E-06    -0.3921321934E-08     0.0000000000E+00     0.0000000000E+00    -0.3921321934E-08     0.1215270800E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1214637990E-06     0.6317169010E-13     0.0000000000E+00     0.0000000000E+00    -0.6317169010E-13     0.1214637990E-06
  15.000     0.1212567753E-06    -0.4190102487E-08     0.0000000000E+00     0.0000000000E+00    -0.4190102487E-08     0.1212567753E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1211843568E-06     0.6752931547E-13     0.0000000000E+00     0.0000000000E+00    -0.6752931547E-13     0.1211843568E-06
  15.500     0.1209781573E-06    -0.4467111125E-08     0.0000000000E+00     0.0000000000E+00    -0.4467111125E-08     0.1209781573E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1208956490E-06     0.7199796315E-13     0.0000000000E+00     0.0000000000E+00    -0.7199796315E-13     0.1208956490E-06
  16.000     0.1206913254E-06    -0.4752298111E-08     0.0000000000E+00     0.0000000000E+00    -0.4752298111E-08     0.1206913254E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1205977185E-06     0.7663314427E-13     0.0000000000E+00     0.0000000000E+00    -0.7663314427E-13     0.1205977185E-06
  16.500     0.1203963507E-06    -0.5045528439E-08     0.0000000000E+00     0.0000000000E+00    -0.5045528439E-08     0.1203963507E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1202905793E-06     0.8129608098E-13     0.0000000000E+00     0.0000000000E+00    -0.8129608098E-13     0.1202905793E-06
  17.000     0.1200933752E-06    -0.5346741716E-08     0.0000000000E+00     0.0000000000E+00    -0.5346741716E-08     0.1200933752E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1199742883E-06     0.8612555114E-13     0.0000000000E+00     0.0000000000E+00    -0.8612555114E-13     0.1199742883E-06
  17.500     0.1197824275E-06    -0.5655888202E-08     0.0000000000E+00     0.0000000000E+00    -0.5655888202E-08     0.1197824275E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1196488313E-06     0.9114931032E-13     0.0000000000E+00     0.0000000000E+00    -0.9114931032E-13     0.1196488313E-06
  18.000     0.1194636639E-06    -0.5972793815E-08     0.0000000000E+00     0.0000000000E+00    -0.5972793815E-08     0.1194636639E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1193142651E-06     0.9622858066E-13     0.0000000000E+00     0.0000000000E+00    -0.9622858066E-13     0.1193142651E-06
  18.500     0.1191371197E-06    -0.6297462107E-08     0.0000000000E+00     0.0000000000E+00    -0.6297462107E-08     0.1191371197E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1189705685E-06     0.1015576512E-12     0.0000000000E+00     0.0000000000E+00    -0.1015576512E-12     0.1189705685E-06
  19.000     0.1188029302E-06    -0.6629687022E-08     0.0000000000E+00     0.0000000000E+00    -0.6629687022E-08     0.1188029302E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1186178125E-06     0.1068867217E-12     0.0000000000E+00     0.0000000000E+00    -0.1068867217E-12     0.1186178125E-06
  19.500     0.1184612017E-06    -0.6969425925E-08     0.0000000000E+00     0.0000000000E+00    -0.6969425925E-08     0.1184612017E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1182560183E-06     0.1124378368E-12     0.0000000000E+00     0.0000000000E+00    -0.1124378368E-12     0.1182560183E-06
  20.000     0.1181120339E-06    -0.7316536710E-08     0.0000000000E+00     0.0000000000E+00    -0.7316536710E-08     0.1181120339E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1178852003E-06     0.1179611964E-12     0.0000000000E+00     0.0000000000E+00    -0.1179611964E-12     0.1178852003E-06
  20.500     0.1177555120E-06    -0.7670955426E-08     0.0000000000E+00     0.0000000000E+00    -0.7670955426E-08     0.1177555120E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1175053868E-06     0.1236788449E-12     0.0000000000E+00     0.0000000000E+00    -0.1236788449E-12     0.1175053868E-06
  21.000     0.1173917425E-06    -0.8032550625E-08     0.0000000000E+00     0.0000000000E+00    -0.8032550625E-08     0.1173917425E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1171166062E-06     0.1295630270E-12     0.0000000000E+00     0.0000000000E+00    -0.1295630270E-12     0.1171166062E-06
  21.500     0.1170209032E-06    -0.8401233487E-08     0.0000000000E+00     0.0000000000E+00    -0.8401233487E-08     0.1170209032E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1167189296E-06     0.1355304757E-12     0.0000000000E+00     0.0000000000E+00    -0.1355304757E-12     0.1167189296E-06
  22.000     0.1166430224E-06    -0.8776869009E-08     0.0000000000E+00     0.0000000000E+00    -0.8776869009E-08     0.1166430224E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1163123358E-06     0.1416089468E-12     0.0000000000E+00     0.0000000000E+00    -0.1416089468E-12     0.1163123358E-06
  22.500     0.1162582350E-06    -0.9159336400E-08     0.0000000000E+00     0.0000000000E+00    -0.9159336400E-08     0.1162582350E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1158968672E-06     0.1477706846E-12     0.0000000000E+00     0.0000000000E+00    -0.1477706846E-12     0.1158968672E-06
  23.000     0.1158666976E-06    -0.9548525526E-08     0.0000000000E+00     0.0000000000E+00    -0.9548525526E-08     0.1158666976E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1154725879E-06     0.1540434447E-12     0.0000000000E+00     0.0000000000E+00    -0.1540434447E-12     0.1154725879E-06
  23.500     0.1154684810E-06    -0.9944368884E-08     0.0000000000E+00     0.0000000000E+00    -0.9944368884E-08     0.1154684810E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1150394837E-06     0.1604549826E-12     0.0000000000E+00     0.0000000000E+00    -0.1604549826E-12     0.1150394837E-06
  24.000     0.1150637559E-06    -0.1034666752E-07     0.0000000000E+00     0.0000000000E+00    -0.1034666752E-07     0.1150637559E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1145976256E-06     0.1670052985E-12     0.0000000000E+00     0.0000000000E+00    -0.1670052985E-12     0.1145976256E-06
  24.500     0.1146526074E-06    -0.1075532907E-07     0.0000000000E+00     0.0000000000E+00    -0.1075532907E-07     0.1146526074E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1141470207E-06     0.1735833699E-12     0.0000000000E+00     0.0000000000E+00    -0.1735833699E-12     0.1141470207E-06
  25.000     0.1142351778E-06    -0.1117024340E-07     0.0000000000E+00     0.0000000000E+00    -0.1117024340E-07     0.1142351778E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1136877330E-06     0.1802724636E-12     0.0000000000E+00     0.0000000000E+00    -0.1802724636E-12     0.1136877330E-06
  25.500     0.1138115735E-06    -0.1159124707E-07     0.0000000000E+00     0.0000000000E+00    -0.1159124707E-07     0.1138115735E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1132197767E-06     0.1871003352E-12     0.0000000000E+00     0.0000000000E+00    -0.1871003352E-12     0.1132197767E-06
  26.000     0.1133819580E-06    -0.1201825839E-07     0.0000000000E+00     0.0000000000E+00    -0.1201825839E-07     0.1133819580E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1127432014E-06     0.1940114736E-12     0.0000000000E+00     0.0000000000E+00    -0.1940114736E-12     0.1127432014E-06
  26.500     0.1129464238E-06    -0.1245112102E-07     0.0000000000E+00     0.0000000000E+00    -0.1245112102E-07     0.1129464238E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1122580215E-06     0.2010058786E-12     0.0000000000E+00     0.0000000000E+00    -0.2010058786E-12     0.1122580215E-06
  27.000     0.1125051341E-06    -0.1288968932E-07     0.0000000000E+00     0.0000000000E+00    -0.1288968932E-07     0.1125051341E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1117643080E-06     0.2081113060E-12     0.0000000000E+00     0.0000000000E+00    -0.2081113060E-12     0.1117643080E-06
  27.500     0.1120582027E-06    -0.1333387090E-07     0.0000000000E+00     0.0000000000E+00    -0.1333387090E-07     0.1120582027E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1112620751E-06     0.2153277556E-12     0.0000000000E+00     0.0000000000E+00    -0.2153277556E-12     0.1112620751E-06
