 0.5612719E-01   single scattering albedo
 0.2966419E+00   scattering cross section
 0.5285173E+01   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   9.000     0.1542629775E-06    -0.1905164027E-08     0.0000000000E+00     0.0000000000E+00    -0.1905164027E-08     0.1542629775E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1542512251E-06     0.7127631818E-13     0.0000000000E+00     0.0000000000E+00    -0.7127631818E-13     0.1542512251E-06
   9.500     0.1540461483E-06    -0.2120692955E-08     0.0000000000E+00     0.0000000000E+00    -0.2120692955E-08     0.1540461483E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1540315537E-06     0.7921441281E-13     0.0000000000E+00     0.0000000000E+00    -0.7921441281E-13     0.1540315537E-06
  10.000     0.1538180925E-06    -0.2347483985E-08     0.0000000000E+00     0.0000000000E+00    -0.2347483985E-08     0.1538180925E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1538001868E-06     0.8770761895E-13     0.0000000000E+00     0.0000000000E+00    -0.8770761895E-13     0.1538001868E-06
  10.500     0.1535788243E-06    -0.2585380798E-08     0.0000000000E+00     0.0000000000E+00    -0.2585380798E-08     0.1535788243E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1535570533E-06     0.9642286969E-13     0.0000000000E+00     0.0000000000E+00    -0.9642286969E-13     0.1535570533E-06
  11.000     0.1533284433E-06    -0.2834376289E-08     0.0000000000E+00     0.0000000000E+00    -0.2834376289E-08     0.1533284433E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1533022385E-06     0.1058042542E-12     0.0000000000E+00     0.0000000000E+00    -0.1058042542E-12     0.1533022385E-06
  11.500     0.1530669351E-06    -0.3094321244E-08     0.0000000000E+00     0.0000000000E+00    -0.3094321244E-08     0.1530669351E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1530356712E-06     0.1154076834E-12     0.0000000000E+00     0.0000000000E+00    -0.1154076834E-12     0.1530356712E-06
  12.000     0.1527945273E-06    -0.3365201451E-08     0.0000000000E+00     0.0000000000E+00    -0.3365201451E-08     0.1527945273E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1527574511E-06     0.1255662241E-12     0.0000000000E+00     0.0000000000E+00    -0.1255662241E-12     0.1527574511E-06
  12.500     0.1525111912E-06    -0.3646917435E-08     0.0000000000E+00     0.0000000000E+00    -0.3646917435E-08     0.1525111912E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1524675923E-06     0.1361133428E-12     0.0000000000E+00     0.0000000000E+00    -0.1361133428E-12     0.1524675923E-06
  13.000     0.1522170407E-06    -0.3939369719E-08     0.0000000000E+00     0.0000000000E+00    -0.3939369719E-08     0.1522170407E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1521660664E-06     0.1471045508E-12     0.0000000000E+00     0.0000000000E+00    -0.1471045508E-12     0.1521660664E-06
  13.500     0.1519122037E-06    -0.4242480145E-08     0.0000000000E+00     0.0000000000E+00    -0.4242480145E-08     0.1519122037E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1518529587E-06     0.1583733145E-12     0.0000000000E+00     0.0000000000E+00    -0.1583733145E-12     0.1518529587E-06
  14.000     0.1515967369E-06    -0.4556120814E-08     0.0000000000E+00     0.0000000000E+00    -0.4556120814E-08     0.1515967369E-06     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1515282406E-06     0.1700861674E-12     0.0000000000E+00     0.0000000000E+00    -0.1700861674E-12     0.1515282406E-06
