 0.1657134E+00   single scattering albedo
 0.3398903E+01   scattering cross section
 0.2051073E+02   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.1802231850E-05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1802231850E-05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1802231850E-05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.1802231850E-05
   0.500     0.1802162387E-05    -0.6815525921E-10     0.0000000000E+00     0.0000000000E+00    -0.6815525921E-10     0.1802162387E-05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1802162387E-05     0.4440892099E-14     0.0000000000E+00     0.0000000000E+00    -0.4440892099E-14     0.1802162387E-05
   1.000     0.1801955250E-05    -0.2725641934E-09     0.0000000000E+00     0.0000000000E+00    -0.2725641934E-09     0.1801955250E-05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1801955136E-05     0.2131628207E-13     0.0000000000E+00     0.0000000000E+00    -0.2131628207E-13     0.1801955136E-05
   1.500     0.1801609642E-05    -0.6131699593E-09     0.0000000000E+00     0.0000000000E+00    -0.6131699593E-09     0.1801609642E-05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1801609528E-05     0.4884981308E-13     0.0000000000E+00     0.0000000000E+00    -0.4884981308E-13     0.1801609528E-05
   2.000     0.1801126245E-05    -0.1089915713E-08     0.0000000000E+00     0.0000000000E+00    -0.1089915713E-08     0.1801126245E-05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1801126018E-05     0.8615330671E-13     0.0000000000E+00     0.0000000000E+00    -0.8615330671E-13     0.1801126018E-05
   2.500     0.1800504378E-05    -0.1702687769E-08     0.0000000000E+00     0.0000000000E+00    -0.1702687769E-08     0.1800504378E-05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1800503583E-05     0.1358912982E-12     0.0000000000E+00     0.0000000000E+00    -0.1358912982E-12     0.1800503583E-05
   3.000     0.1799745291E-05    -0.2451201908E-08     0.0000000000E+00     0.0000000000E+00    -0.2451201908E-08     0.1799745291E-05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1799743586E-05     0.1945110739E-12     0.0000000000E+00     0.0000000000E+00    -0.1945110739E-12     0.1799743586E-05
   3.500     0.1798848643E-05    -0.3334946541E-08     0.0000000000E+00     0.0000000000E+00    -0.3334946541E-08     0.1798848643E-05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1798845574E-05     0.2637889907E-12     0.0000000000E+00     0.0000000000E+00    -0.2637889907E-12     0.1798845574E-05
   4.000     0.1797814775E-05    -0.4354205885E-08     0.0000000000E+00     0.0000000000E+00    -0.4354205885E-08     0.1797814775E-05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1797809432E-05     0.3463895837E-12     0.0000000000E+00     0.0000000000E+00    -0.3463895837E-12     0.1797809432E-05
   4.500     0.1796643460E-05    -0.5508582035E-08     0.0000000000E+00     0.0000000000E+00    -0.5508582035E-08     0.1796643460E-05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1796635047E-05     0.4369837825E-12     0.0000000000E+00     0.0000000000E+00    -0.4369837825E-12     0.1796635047E-05
   5.000     0.1795335947E-05    -0.6797392871E-08     0.0000000000E+00     0.0000000000E+00    -0.6797392871E-08     0.1795335947E-05     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1795323215E-05     0.5391243008E-12     0.0000000000E+00     0.0000000000E+00    -0.5391243008E-12     0.1795323215E-05
