 0.6822171E-03   single scattering albedo
 0.3831501E-04   scattering cross section
 0.5616249E-01   extinction cross section
 Non-normalized scattering matrix:
 theta(degrees)     F11                  F12                  F13                  F14                  F21                  F22                  F23                  F24                  F31                  F32                  F33                  F34                  F41                  F42                  F43                  F44
   0.000     0.2005953390E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2005953390E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2005953563E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00    -0.0000000000E+00     0.2005953563E-10
   0.500     0.2005876715E-10    -0.7641456912E-15     0.0000000000E+00     0.0000000000E+00    -0.7641456912E-15     0.2005876715E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2005876888E-10     0.6776263578E-20     0.0000000000E+00     0.0000000000E+00    -0.6776263578E-20     0.2005876888E-10
   1.000     0.2005647731E-10    -0.3053113318E-14     0.0000000000E+00     0.0000000000E+00    -0.3053113318E-14     0.2005647731E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2005647905E-10     0.6776263578E-20     0.0000000000E+00     0.0000000000E+00    -0.6776263578E-20     0.2005647905E-10
   1.500     0.2005266439E-10    -0.6872107050E-14     0.0000000000E+00     0.0000000000E+00    -0.6872107050E-14     0.2005266439E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2005266439E-10     0.1355252716E-19     0.0000000000E+00     0.0000000000E+00    -0.1355252716E-19     0.2005266439E-10
   2.000     0.2004732838E-10    -0.1221679008E-13     0.0000000000E+00     0.0000000000E+00    -0.1221679008E-13     0.2004732838E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2004732665E-10     0.3388131789E-19     0.0000000000E+00     0.0000000000E+00    -0.3388131789E-19     0.2004732665E-10
   2.500     0.2004046581E-10    -0.1908282560E-13     0.0000000000E+00     0.0000000000E+00    -0.1908282560E-13     0.2004046581E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2004045888E-10     0.6776263578E-19     0.0000000000E+00     0.0000000000E+00    -0.6776263578E-19     0.2004045888E-10
   3.000     0.2003208883E-10    -0.2747281569E-13     0.0000000000E+00     0.0000000000E+00    -0.2747281569E-13     0.2003208883E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2003207149E-10     0.8131516294E-19     0.0000000000E+00     0.0000000000E+00    -0.8131516294E-19     0.2003207149E-10
   3.500     0.2002219224E-10    -0.3738242355E-13     0.0000000000E+00     0.0000000000E+00    -0.3738242355E-13     0.2002219224E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2002215928E-10     0.1016439537E-18     0.0000000000E+00     0.0000000000E+00    -0.1016439537E-18     0.2002215928E-10
   4.000     0.2001078470E-10    -0.4880731236E-13     0.0000000000E+00     0.0000000000E+00    -0.4880731236E-13     0.2001078470E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.2001072572E-10     0.1558540623E-18     0.0000000000E+00     0.0000000000E+00    -0.1558540623E-18     0.2001072572E-10
   4.500     0.1999785580E-10    -0.6174401268E-13     0.0000000000E+00     0.0000000000E+00    -0.6174401268E-13     0.1999785580E-10     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.0000000000E+00     0.1999776213E-10     0.1694065895E-18     0.0000000000E+00     0.0000000000E+00    -0.1694065895E-18     0.1999776213E-10
