length scale factor
3.5620000E-05
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
7.1734157E-04 3.5584380E-05 1.1339130E-02 7.1734157E-04
total extinction, absorption, scattering efficiencies (unpolarized incidence)
4.6478000E-06 4.6478000E-06 -3.1431000E-11
theta     11          12          22          33          34          44
 0.0000000E+00 -4.1565000E-03  0.0000000E+00  9.9977000E-01  9.9977000E-01  0.0000000E+00  9.9954000E-01
 5.0000000E-01 -4.1563000E-03 -3.8069000E-05  9.9977000E-01  9.9977000E-01 -4.3257000E-15  9.9954000E-01
 1.0000000E+00 -4.1559000E-03 -1.5228000E-04  9.9977000E-01  9.9977000E-01 -1.7304000E-14  9.9954000E-01
 1.5000000E+00 -4.1551000E-03 -3.4265000E-04  9.9977000E-01  9.9977000E-01 -3.8936000E-14  9.9954000E-01
 2.0000000E+00 -4.1540000E-03 -6.0922000E-04  9.9977000E-01  9.9977000E-01 -6.9225000E-14  9.9954000E-01
 2.5000000E+00 -4.1525000E-03 -9.5201000E-04  9.9977000E-01  9.9977000E-01 -1.0818000E-13  9.9954000E-01
 3.0000000E+00 -4.1508000E-03 -1.3711000E-03  9.9977000E-01  9.9977000E-01 -1.5580000E-13  9.9954000E-01
 3.5000000E+00 -4.1487000E-03 -1.8665000E-03  9.9977000E-01  9.9977000E-01 -2.1209000E-13  9.9954000E-01
 4.0000000E+00 -4.1464000E-03 -2.4383000E-03  9.9977000E-01  9.9977000E-01 -2.7707000E-13  9.9954000E-01
 4.5000000E+00 -4.1437000E-03 -3.0867000E-03  9.9977000E-01  9.9976000E-01 -3.5074000E-13  9.9953000E-01
 5.0000000E+00 -4.1407000E-03 -3.8116000E-03  9.9977000E-01  9.9976000E-01 -4.3311000E-13  9.9953000E-01
 5.5000000E+00 -4.1374000E-03 -4.6133000E-03  9.9977000E-01  9.9976000E-01 -5.2421000E-13  9.9953000E-01
 6.0000000E+00 -4.1338000E-03 -5.4918000E-03  9.9977000E-01  9.9975000E-01 -6.2403000E-13  9.9952000E-01
 6.5000000E+00 -4.1299000E-03 -6.4473000E-03  9.9977000E-01  9.9975000E-01 -7.3260000E-13  9.9952000E-01
 7.0000000E+00 -4.1256000E-03 -7.4799000E-03  9.9977000E-01  9.9974000E-01 -8.4993000E-13  9.9951000E-01
 7.5000000E+00 -4.1211000E-03 -8.5897000E-03  9.9977000E-01  9.9973000E-01 -9.7604000E-13  9.9950000E-01
 8.0000000E+00 -4.1162000E-03 -9.7770000E-03  9.9977000E-01  9.9972000E-01 -1.1110000E-12  9.9949000E-01
