length scale factor
8.9040000E-03
volume cluster radius, area mean sphere radius, circumscribing radius, cross section radius
1.7931422E-01 8.8950960E-03 6.0556471E-01 1.7931422E-01
total extinction, absorption, scattering efficiencies (unpolarized incidence)
1.9247000E-03 9.3078000E-04 9.9390000E-04
theta     11          12          22          33          34          44
25.000000 3.6689000E-01 -9.7921000E-02 9.9996000E-01 9.9516000E-01 1.9093000E-08 9.9512000E-01
25.500000 3.6542000E-01 -1.0199000E-01 9.9996000E-01 9.9475000E-01 1.9858000E-08 9.9472000E-01
26.000000 3.6394000E-01 -1.0615000E-01 9.9996000E-01 9.9431000E-01 2.0637000E-08 9.9428000E-01
26.500000 3.6243000E-01 -1.1039000E-01 9.9996000E-01 9.9385000E-01 2.1431000E-08 9.9382000E-01
27.000000 3.6090000E-01 -1.1473000E-01 9.9996000E-01 9.9336000E-01 2.2239000E-08 9.9333000E-01
27.500000 3.5935000E-01 -1.1916000E-01 9.9996000E-01 9.9284000E-01 2.3061000E-08 9.9280000E-01
28.000000 3.5779000E-01 -1.2368000E-01 9.9996000E-01 9.9229000E-01 2.3896000E-08 9.9225000E-01
28.500000 3.5620000E-01 -1.2828000E-01 9.9996000E-01 9.9170000E-01 2.4746000E-08 9.9167000E-01
29.000000 3.5460000E-01 -1.3298000E-01 9.9996000E-01 9.9108000E-01 2.5610000E-08 9.9105000E-01
29.500000 3.5298000E-01 -1.3777000E-01 9.9996000E-01 9.9043000E-01 2.6487000E-08 9.9039000E-01
30.000000 3.5135000E-01 -1.4266000E-01 9.9996000E-01 9.8973000E-01 2.7378000E-08 9.8970000E-01
30.500000 3.4970000E-01 -1.4763000E-01 9.9996000E-01 9.8900000E-01 2.8283000E-08 9.8897000E-01
31.000000 3.4803000E-01 -1.5270000E-01 9.9996000E-01 9.8823000E-01 2.9201000E-08 9.8820000E-01
31.500000 3.4635000E-01 -1.5786000E-01 9.9996000E-01 9.8742000E-01 3.0132000E-08 9.8739000E-01
32.000000 3.4466000E-01 -1.6311000E-01 9.9996000E-01 9.8657000E-01 3.1076000E-08 9.8654000E-01
32.500000 3.4295000E-01 -1.6846000E-01 9.9996000E-01 9.8567000E-01 3.2033000E-08 9.8564000E-01
33.000000 3.4122000E-01 -1.7390000E-01 9.9996000E-01 9.8472000E-01 3.3003000E-08 9.8469000E-01
33.500000 3.3949000E-01 -1.7943000E-01 9.9996000E-01 9.8373000E-01 3.3986000E-08 9.8370000E-01
34.000000 3.3774000E-01 -1.8506000E-01 9.9996000E-01 9.8269000E-01 3.4981000E-08 9.8265000E-01
34.500000 3.3598000E-01 -1.9079000E-01 9.9996000E-01 9.8159000E-01 3.5989000E-08 9.8156000E-01
35.000000 3.3420000E-01 -1.9661000E-01 9.9996000E-01 9.8044000E-01 3.7008000E-08 9.8041000E-01
35.500000 3.3242000E-01 -2.0252000E-01 9.9996000E-01 9.7924000E-01 3.8039000E-08 9.7920000E-01
36.000000 3.3063000E-01 -2.0853000E-01 9.9996000E-01 9.7798000E-01 3.9082000E-08 9.7794000E-01
36.500000 3.2883000E-01 -2.1463000E-01 9.9996000E-01 9.7665000E-01 4.0137000E-08 9.7662000E-01
37.000000 3.2701000E-01 -2.2083000E-01 9.9996000E-01 9.7527000E-01 4.1203000E-08 9.7524000E-01
37.500000 3.2519000E-01 -2.2712000E-01 9.9996000E-01 9.7382000E-01 4.2279000E-08 9.7379000E-01
38.000000 3.2337000E-01 -2.3351000E-01 9.9996000E-01 9.7231000E-01 4.3367000E-08 9.7228000E-01
38.500000 3.2153000E-01 -2.4000000E-01 9.9996000E-01 9.7073000E-01 4.4465000E-08 9.7070000E-01
39.000000 3.1969000E-01 -2.4657000E-01 9.9996000E-01 9.6908000E-01 4.5573000E-08 9.6905000E-01
39.500000 3.1784000E-01 -2.5325000E-01 9.9996000E-01 9.6736000E-01 4.6691000E-08 9.6732000E-01
40.000000 3.1599000E-01 -2.6002000E-01 9.9996000E-01 9.6556000E-01 4.7819000E-08 9.6553000E-01
40.500000 3.1413000E-01 -2.6688000E-01 9.9996000E-01 9.6368000E-01 4.8956000E-08 9.6365000E-01
41.000000 3.1226000E-01 -2.7384000E-01 9.9996000E-01 9.6173000E-01 5.0103000E-08 9.6170000E-01
41.500000 3.1039000E-01 -2.8090000E-01 9.9996000E-01 9.5969000E-01 5.1258000E-08 9.5966000E-01
42.000000 3.0852000E-01 -2.8804000E-01 9.9996000E-01 9.5757000E-01 5.2421000E-08 9.5754000E-01
42.500000 3.0665000E-01 -2.9529000E-01 9.9996000E-01 9.5536000E-01 5.3592000E-08 9.5533000E-01
43.000000 3.0477000E-01 -3.0262000E-01 9.9996000E-01 9.5306000E-01 5.4771000E-08 9.5303000E-01
43.500000 3.0289000E-01 -3.1005000E-01 9.9996000E-01 9.5067000E-01 5.5957000E-08 9.5064000E-01
44.000000 3.0101000E-01 -3.1757000E-01 9.9996000E-01 9.4819000E-01 5.7150000E-08 9.4816000E-01
44.500000 2.9913000E-01 -3.2518000E-01 9.9996000E-01 9.4560000E-01 5.8350000E-08 9.4557000E-01
45.000000 2.9725000E-01 -3.3288000E-01 9.9995000E-01 9.4292000E-01 5.9556000E-08 9.4289000E-01
45.500000 2.9537000E-01 -3.4067000E-01 9.9995000E-01 9.4013000E-01 6.0767000E-08 9.4010000E-01
46.000000 2.9349000E-01 -3.4856000E-01 9.9995000E-01 9.3724000E-01 6.1983000E-08 9.3721000E-01
46.500000 2.9161000E-01 -3.5653000E-01 9.9995000E-01 9.3424000E-01 6.3204000E-08 9.3420000E-01
47.000000 2.8974000E-01 -3.6459000E-01 9.9995000E-01 9.3112000E-01 6.4429000E-08 9.3109000E-01
